User,Pesan,Saham,Jam,Tanggal,Status
Johny,"Membalas : CENT RI kapan ya? Udah ada tanggal nya kah?
Belom ada tanggalnya, lagi dikerek tu, paling sebentar lagi keluar tanggal RI nya  ",CENT,9:56:45 AM,Monday March 29 2021,Positif
Liem Peter,WIIM ciamik tenan,WIIM,9:55:29 AM,Monday March 29 2021,Positif
Johny,"Caution! 
CENT is the buyer for ISAT 4k tower, heard buying at around USD740mn. This is a very good pricing as we are expecting at around USD570-600mn tower sales value.

+ Positive for ISAT as it strengthens the balance sheet and ample of capital for future spectrum acquisition/capex

+ CENT announced their plan for RI, targeting to issue 34bn shares","CENT,GOOD,ISAT,PLAN",9:47:59 AM,Monday March 29 2021,Positif
Mamba Mentallity,"Membalas : CENT nya jgn lupa  
BO kayaknya",CENT,9:35:41 AM,Monday March 29 2021,Positif
Go Jiu,"Berusaha mengakhiri fase downtrend, hr ini BRPT mencoba menembus level psikologis 1.000.

Recommendation: Spec BUY
Target Price I: 1.120
Target Price II: 1.225
Stop Loss: < 930

Disclaimer


Credit: @quantumresearch_idx
Ini adalah foto",BRPT,9:34:47 AM,Monday March 29 2021,Positif
Puspita Wardani,ASSA terbang lg yuk  ,ASSA,9:32:34 AM,Monday March 29 2021,Positif
Mic,Wood jpfa main haka,"JPFA,MAIN,WOOD",9:25:50 AM,Monday March 29 2021,Positif
Puspita Wardani,"Membalas : Essa ada isu apa
Harga amonia naik trs makanya ESSA ngegas tiap hr",ESSA,9:14:39 AM,Monday March 29 2021,Positif
Jafar Sim,"Dmmx naik tapi tidak dengan volume besar, berarti pola htf nya gagal ya?     ","DMMX,POLA",9:10:43 AM,Monday March 29 2021,Positif
Eds,"Membalas : BBTN rebound ga si hrusnya gais?
Kemungkinan iya",BBTN,8:21:57 AM,Monday March 29 2021,Positif
M,"Membalas : https://ekonomi.bisnis.com/read/20210327/257/1373282/cukai-batal-naik-produsen-rokok-kretek-tangan-bernapas-lega#.YF63BZSm09Q.wh
Hmsp bagus ya pak billy karna cukai dibatalkan?",HMSP,6:55:41 AM,Monday March 29 2021,Positif
Kelon Mas :baby_bottle::baby_bottle::baby_bottle:,"Membalas : Byk yg tetep didlm ada yg krluar masuk semuanya punya kelebihan dan kekurangan tergtg psikologi org cocoknya jgn ikut2 an tar ma
Biasanya saya tetap didalam mengandalkan TS untuk TP-nya

Tapi CENT ini sering bikin jarum suntik, jadi sangat cocok buat keluar masuk (Jual atas ambil lagi bawah)",CENT,8:14:52 PM,Tuesday March 30 2021,Positif
Benhan,"Membalas : BBYB : RUPS Pelaksanaan Right Issue di tgl 31 Mar, dimana jadwal pelaksanaan sebelumnya sempat ditunda...
Ah baru baca ini.. pantas BBYB hari ini volumenya besar","BACA,BBYB",8:10:41 PM,Tuesday March 30 2021,Positif
Aho Lie,"Membalas : Kawal bareng2 yuk  
Saya selalu bareng cent Sampai semesta bilg cukup  ",CENT,8:08:24 PM,Tuesday March 30 2021,Positif
Benhan,"Membalas : I see, jadi digital colony bisa dibilang pemilik CENT ya om? Thankyou infonya
Digital Colony mau akuisisi CENT. Sepertinya right issue nanti standby buyernya mereka",CENT,8:02:54 PM,Tuesday March 30 2021,Positif
Rey,"Membalas : Itu ada jawabannya di atas
I see, jadi digital colony bisa dibilang pemilik CENT ya om? Thankyou infonya",CENT,8:00:42 PM,Tuesday March 30 2021,Positif
Aho Lie,Hidup pak benhan juga hidupkan Cent  ,CENT,8:00:20 PM,Tuesday March 30 2021,Positif
mrs A,"Membalas : Haka CENT
Jam 2 keluar news ini  .",CENT,7:49:12 PM,Tuesday March 30 2021,Positif
Tommy Hermes,"Membalas : Photo
Haka CENT",CENT,7:46:06 PM,Tuesday March 30 2021,Positif
Benanta,"Membalas : Photo
Ini tgl tnggu ada yg narik aja, ke goceng juga enteng,, model2an kaya isat",ISAT,7:13:39 PM,Tuesday March 30 2021,Positif
Ahmad Rifai,Guys ad yg msh pegang eraa berarti bsok saham kita udh pecah nominal+jadi banyak ya,ERAA,4:15:47 PM,Tuesday March 30 2021,Positif
A,"Wskt, Ptpp nya lagi diskon ya boend ",PTPP,3:56:06 PM,Tuesday March 30 2021,Positif
Redy Yeee,"Membalas : kan patriotik kak, MERAH DARAHKUUUU!!!      
dapet ini pasti same di ma 20 kan mba rui    ",SAME,3:26:55 PM,Tuesday March 30 2021,Positif
Ratih Estiani,"Membalas :   
Qjd inget pas ihsg merah2 trus tiba2 ditarik ijo mas..wkwkwkwk",TRUS,3:23:21 PM,Tuesday March 30 2021,Positif
Carlo Micelli,Tetap bersyukur ACES ijo... ,ACES,2:46:51 PM,Tuesday March 30 2021,Positif
Dharma,"Ini pgas napa om, kok broker saham bandar pada pungutin?
Ini adalah foto",PGAS,2:39:02 PM,Tuesday March 30 2021,Positif
41056 (Rizki Putra Perdana),yok essa ribon yokk,ESSA,2:33:09 PM,Tuesday March 30 2021,Positif
Tejo Arum,Cent ngamuk,CENT,2:31:47 PM,Tuesday March 30 2021,Positif
Yudha,"Membalas : PTPP itu lq45 pak
Fundamental ptpp oke lah, bagi dividen juga. Tunggu beberapa bulan lg juga naik pak",PTPP,2:24:56 PM,Tuesday March 30 2021,Positif
Gue Keren,"BACA ambroll nih, ada yg mau hajar gk?",BACA,2:19:09 PM,Tuesday March 30 2021,Positif
Lee Khong Huan,"Same biasa kuat di ma20, akankah kini juga akan mantul di sana?",SAME,2:19:05 PM,Tuesday March 30 2021,Positif
Tejo Arum,Awassss siapp2 cent mau terbang    ,CENT,2:10:15 PM,Tuesday March 30 2021,Positif
Jafar Sim,"Membalas : Asik, buat serok ini. Hu Billy mau tunggu di 5700 ?
Emiten nya hu Billy aman ga terpengaruh badai   ",AMAN,2:05:06 PM,Tuesday March 30 2021,Positif
Rocky Thohir,DNAR & BGTG get ready?,"BGTG,DNAR",1:57:20 PM,Tuesday March 30 2021,Positif
Carlo Micelli,Semoga ERAA ijo besok SS,ERAA,1:48:31 PM,Tuesday March 30 2021,Positif
Raditbima,Baca ara guys. Selanjutnya apa ya? Bbyb?,BACA,1:47:56 PM,Tuesday March 30 2021,Positif
Puspita Wardani,BBHI bangkit dr kubur,BBHI,1:40:10 PM,Tuesday March 30 2021,Positif
Tommy Hermes,"Membalas : Yuhu BBYB
BBYB masih bisa naik ga ya",BBYB,1:39:29 PM,Tuesday March 30 2021,Positif
Tommy Hermes,"Membalas : ya jangan pak..
Kadung nyemplung
Membalas : fomo baca boleh ga ya
Klo menurut suhu Hauw justru pas lagi di mark up gini yang bisa cuan banyak dan cepat, jangan tunggu pas koreksi karena itu sudah moment distribusi.","BACA,MARK",1:26:46 PM,Tuesday March 30 2021,Positif
Tomatto Tomatto,"Membalas : BBYB : RUPS Pelaksanaan Right Issue di tgl 31 Mar, dimana jadwal pelaksanaan sebelumnya sempat ditunda...
Area buy",BBYB,1:18:14 PM,Tuesday March 30 2021,Positif
Puspita Wardani,"Membalas : BbYB belakang nya Alibaba loh  
BBYB : RUPS Pelaksanaan Right Issue di tgl 31 Mar, dimana jadwal pelaksanaan sebelumnya sempat ditunda...",BBYB,1:13:06 PM,Tuesday March 30 2021,Positif
RBTAN59,sentimen bandar sdg mau beramain di baca,BACA,12:42:13 PM,Tuesday March 30 2021,Positif
"Apt, Yulianto Wijaya S Farm, RTA (FRED)","Membalas : ANTM kira kira bisa ke 3.500 ngga pak?
1300-1500 dg syarat break dan bertahan dibawah 2150",ANTM,12:41:02 PM,Tuesday March 30 2021,Positif
Dita Rissa,BACA dan ARTO the real bank digital... Yg lain cm ikut 2.. belakang mereka raksasa2 unicorn,"ARTO,BACA,BANK,REAL",12:36:02 PM,Tuesday March 30 2021,Positif
Dita Rissa,BACA ok punya,BACA,12:33:59 PM,Tuesday March 30 2021,Positif
GoesWan,"Baca bagus buat masuk, tp jngn bnyk2. Bagus lg tunggu candle biru buat memastikan. Prosentase saham, 50% bnyk diatas harga skrg.",BACA,12:30:19 PM,Tuesday March 30 2021,Positif
rigeladitya,"LPPF weekly, harga di atas MA5 9 weeks, di atas MA10 8 weeks, di atas EMA30 4 weeks, dan sedang berusaha jebol MA60. Masuk setup-nya Ko Billy ga nih?
Ini adalah foto",LPPF,11:33:12 AM,Tuesday March 30 2021,Positif
Rocky Thohir,Next BNBA watch ya!,BNBA,11:32:55 AM,Tuesday March 30 2021,Positif
Raditbima,Arakan BACA,BACA,11:29:14 AM,Tuesday March 30 2021,Positif
rigeladitya,Nikel nikelan semuanya stay di base masing-masing. Strong.  LPPF yang paling cantik.,LPPF,11:28:43 AM,Tuesday March 30 2021,Positif
Puspita Wardani,BACA gass trs,BACA,11:25:11 AM,Tuesday March 30 2021,Positif
Chai Lie,"PTPP teknikalnya lg di area deman, pengen serok tapi ragu",PTPP,11:15:22 AM,Tuesday March 30 2021,Positif
Fajar Suryo,Akhirnya WIIM nyolek 955,WIIM,11:10:43 AM,Tuesday March 30 2021,Positif
Puspita Wardani,"Membalas : Lgi diguyur RF
Klu buat FT aman lah kak, harganya sllu dijaga  ",AMAN,10:45:15 AM,Tuesday March 30 2021,Positif
Hendra,"Membalas : CENT naik lg yuk   udah full lg muatan  
Kyk ada yg jaga dibanting trus dinaikin wkwk","CENT,TRUS",10:43:43 AM,Tuesday March 30 2021,Positif
Puspita Wardani,CENT naik lg yuk   udah full lg muatan  ,CENT,10:42:43 AM,Tuesday March 30 2021,Positif
Faliq H,serok bawah CENT kenyang,CENT,10:42:18 AM,Tuesday March 30 2021,Positif
RBTAN59,tpia sdh start mau rups mgkn menuju RI jg ,TPIA,10:28:07 AM,Tuesday March 30 2021,Positif
Dimas Ari Nugroho,"Membalas : Tp kl gara2 ini wskt jadi 500 lg boleh lah  
Gw di Adhi karya aja gan   lebih lincah gerakannya kalo lagi bullish","ADHI,WSKT",10:24:34 AM,Tuesday March 30 2021,Positif
Jay Jay,Tp kl gara2 ini wskt jadi 500 lg boleh lah  ,WSKT,10:22:32 AM,Tuesday March 30 2021,Positif
Novine 90210,"eraa...hari ini cumdate ss tapi masih gitu2 aja...
masih rame sido kayanya",SIDO,9:45:28 AM,Tuesday March 30 2021,Positif
Louis Adam,AGRO DOID rebound,"AGRO,DOID",9:20:52 AM,Tuesday March 30 2021,Positif
Puspita Wardani,ASSA n CENT bkn pagi pagi happy  ,"ASSA,CENT",9:16:01 AM,Tuesday March 30 2021,Positif
Liem Peter,"wah ini YP masang pager CENT di 292, abg dia 293",CENT,9:15:45 AM,Tuesday March 30 2021,Positif
Liem Peter,cent kenceng juga ya,CENT,9:10:52 AM,Tuesday March 30 2021,Positif
Jafar Sim,"Membalas : candaaaa apusss... 
Yang agro yang agro (harusnya) hari ini rebound ijo,,, yang agro yang agro",AGRO,9:00:00 AM,Tuesday March 30 2021,Positif
Handy HD,ENRG mau CUM RI ya?,ENRG,8:57:54 AM,Tuesday March 30 2021,Positif
rigeladitya,"INCO area demand, ada yang lagi ngumpul in banyak banget.
Ini adalah foto",INCO,10:48:22 PM,Monday March 29 2021,Positif
IHSG MORNING STAR OTW 6500,"Membalas : Ada yg main binary option binomo di grup ini? Mau tahu mrk benar atau nggak cara kerjanya terutama chart, sistem deposit / with
Binomo illegal",MAIN,9:55:42 PM,Sunday March 28 2021,Negatif
Dharma Djiauw  ,"Membalas : Ada yg main binary option binomo di grup ini? Mau tahu mrk benar atau nggak cara kerjanya terutama chart, sistem deposit / with
Traffic data di chart bisa dimainkan pak
 kalo profit 80% trader, 20% buat pihak sana, loss ya 100% trader 
Blm trmasuk permainan slippage dan requote",MAIN,9:38:58 PM,Sunday March 28 2021,Negatif
Taupik Rahmat,"Membalas : Ada yg main binary option binomo di grup ini? Mau tahu mrk benar atau nggak cara kerjanya terutama chart, sistem deposit / with
Kalo mau cepet miskin bisa main itu om  ",MAIN,9:37:21 PM,Sunday March 28 2021,Negatif
Melvin E. S.,"Ok mksh..
Ada yg main binary option binomo di grup ini? Mau tahu mrk benar atau nggak cara kerjanya terutama chart,  sistem deposit / withdraw dan web nya. Kabarnya sering di blokir situsnya sama kominfo. Mksh..",MAIN,9:32:29 PM,Sunday March 28 2021,Negatif
Jimmy,"Membalas : Iya betul pak. Nah itu tadi pak Jimmy bilang kalau salah satu kunci trading itu  hindari keramaian . Tapi kenapa ada jg yg bilan
Saya bukan Suhu ya Pak. Masih belajar juga, sedikit di atas niubi lah.

Mungkin pake contoh aja ya yang gampang, ANTM. 

Sampai Kamis minggu lalu. Pasar masih pesimis dengan ANTM. Ada yang bilang harga bandar di 1700. Ada yang bilang mau ke 1000, dsb. Keramaian jelas berada di sisi pesimis.

Nah Jumat lalu, secara chart terlihat kalo tutupan Kamis bisa jadi titik reversal. 

Dan kalo yang mengamati aliran akumulasi, terlihat big player konsisten masuk bertahap di 4-5 hari terakhir.

Dan kita tahu akhir bulan ada rencana pengumuman IBH, tapi kita ga tau akhir bulannya kapan, bisa tanggal 25, 26, dsb sampai tgl 30.

Disini terlihat, ""keramaian"" berada di sisi ""pesimis"", sementara market sudah menunjukkan ada ""pembalikan arah"".

Jadi kita mau tes ikut ""market"" atau ikut ""keramaian""?  

Semoga bisa dipahami ya. Memang tipis bedanya, tapi ya itulah kurang lebih benang merahnya. Mirip kaya liat divergen trend. Kadang selip mata  ",SATU,1:30:08 AM,Sunday March 28 2021,Negatif
Bu Nana,"Ikut rules nya pak Billy berarti antm magnetnya ke bawah?
Ini adalah foto",ANTM,11:50:56 PM,Saturday March 27 2021,Negatif
Hatsuko,"Membalas : Sependek amatan saya avg down itu boleh dg pertimbangan2: 1. Sahamnya memang liquid 2. Mengenali S&R dg cermat 3. Penggunaan dan
Lebih tepat sebenarnya konsep avg down adalah beli mencicil di satu emiten yg sama. Setelah selesai (mencicil sistem piramida, cicil 2,3,4 kali, dengan alokasi misal 20% total porto) tapi harganya lalu tetap turun 6% dari avg, cutloss. Kalau yg pembelian sekaligus (juga alokasi 20% porto) dan harganya turun juga 6% cutloss. Jadi konsepnya tetap disiplin cutloss saja dari alokasi 20% porto kalau harga turun 6%. Incar lagi saham yg sama setelah trend nya jadi bullish atau cari saham lain.  ",SATU,8:13:26 PM,Saturday March 27 2021,Negatif
Charles Prop,"Membalas : Mungkin WB belom pernah menikmati cuan dari scalping Karena buat apa dia sudah kaya raya, hehe
Kalau lihat perjalanan WB. Dia loss bnyk tu di awal. Bahkan berkshire nya itu adalah salah satu kegagalan dia",SATU,7:23:09 PM,Saturday March 27 2021,Negatif
Charles Prop,"Contoh yang barusan kejadian adalah BBTN. Dirut ditarik org luar. Investor ngerasa kebijakan bbtn ini uda bagus, tapi berhub org luar masuk maka bakal ada rubah kebijakan lagi dan belum tentu sinergis. Makanya itu saham lsng drop sampe lumayan dalam",BBTN,6:07:04 PM,Saturday March 27 2021,Negatif
Fajar Oktavaria,"Membalas : Ini nih yg namanya cut your loss and protect your profit  
berkat guru-guru disini pak benhan  
semenjak para guru disini sharing pengalaman, saya berpendapat tidak perlu waktu lama untuk bisa ""cut your loss and protect your profit"" atau sederhanakan saja menjaga modal
cukup akui kesalahan dan belajar dari kesalahan   
*notes jika ada yang bertanya saat itu kesalahan terbesar saya dimana, itu saat asri dan dkft htf (disini saya tidak mempersiapkan TS ataupun SL)","ASRI,DKFT",12:59:50 PM,Saturday March 27 2021,Negatif
Bu Nana,"Membalas : Kalau benar avg Anda 1020, ga perlu ragu Bu. Saya rasa Senin ini ga akan sempat avg down karena harganya dah naik duluan
Tadi pagi saya diskusi ama tmn via pm di bantah ama dia, jelek itu smra , makanya saya cari second opinion",SMRA,12:15:42 PM,Saturday March 27 2021,Negatif
Billy,Saya ga akan putus assa lg ampe pinjem KTA .. Itu same aja balik lg ke lubang hitam.. Mending natural aja.. Wish me luck....  ,"ASSA,SAME",9:43:49 AM,Saturday March 27 2021,Negatif
AAN,"Membalas : Cut lost dulu aja pak senen. Beli yang ASIIk biar bisa join ngobrol disini
Saya ijin KBAG keuangan dulu pak kalau mau cutloss....  ",KBAG,9:33:07 AM,Saturday March 27 2021,Negatif
Ronny,"Membalas : Sahamku LPPF bingung dirangkai jadi kata apa ya   
Cut lost dulu aja pak senen. Beli yang ASIIk biar bisa join ngobrol disini",LPPF,9:31:05 AM,Saturday March 27 2021,Negatif
Billy,"Membalas : Masih mending sih pinjem bank buat trading ketimbang margin. Kalau margin kan ada margin call dan harus force sell kalau pinjem
Loh saya pinjem ke bank nya terus dipake trading pake margin.. Kurang apa   ",BANK,7:27:52 AM,Saturday March 27 2021,Negatif
Jaidie,"Membalas : Saham mana yg arb berhari2
IKAN mungkin wkwk",IKAN,7:12:40 AM,Saturday March 27 2021,Negatif
hery,"Membalas : Back Test kenaikanorpenurunan Ex date SS.pptx
wah, BRPT kemarin tidak menyenangkan yah",BRPT,1:11:45 AM,Saturday March 27 2021,Negatif
Benhan,"Membalas : Td pas pak HM bahas passion, sy trtarik hehe.. krn gini, ini kan arb msh 7%, dsaat arb 7% market koreksi trader2 yg bru join di
Pasang stoploss 5% aja dijamin aman dari ARB mau berapa persenpun. Asal bukan di saham yg ga liquid",AMAN,9:45:22 PM,Friday March 26 2021,Negatif
Denny Wang,"Membalas : Yup, swing low confirmed. Semoga 1 april akan jadi last chance to buy before start to retest 6550 lagi di april-Mei...
Untuk ihsg?  6050an itu sdh bottom nya pak jutha?  @JuthaBram 

Btw. Wskt cm turun sedikit meskipun lap keu jelek.. dijagain bandar?",WSKT,6:51:53 PM,Friday March 26 2021,Negatif
Jimi Yang,Essa ngamuk,ESSA,2:32:02 PM,Friday March 26 2021,Negatif
as s,bmri kemungkinan bid palsu dr tadi ga kuat2 nanjak  ,BMRI,1:51:05 PM,Friday March 26 2021,Negatif
Aho Lie,"Membalas : Langsung drop LPPF karena ga boleh mudik
Ini mksdnya pak kadg udh kita analisa dgn berbagai mcm ilmu e kena prank lgs koit   ",LPPF,1:43:46 PM,Friday March 26 2021,Negatif
Benhan,Langsung drop LPPF karena ga boleh mudik,LPPF,1:42:49 PM,Friday March 26 2021,Negatif
hery,"Membalas : Keinget saham MASA om, siapa tau ada cerita yg sama kd go private gitu , dpt durian runtuh kalo sahamnya bener
masa dah beberapa kali gagal go private nya. harganya kurang seru  ",MASA,1:35:34 PM,Friday March 26 2021,Negatif
Charles Prop,"Membalas : Keinget saham MASA om, siapa tau ada cerita yg sama kd go private gitu , dpt durian runtuh kalo sahamnya bener
Harus liat produk ny jg si pak kenapa bs mau go private. Sngt minim sekarang prusahaan mau go private apalagi lg pandemi gini BU semua",MASA,1:26:38 PM,Friday March 26 2021,Negatif
Aliong,"Membalas : Ya kalau kita uda tau mending menjauh saja pak.
Keinget saham MASA om, siapa tau ada cerita yg sama kd go private gitu  , dpt durian runtuh kalo sahamnya bener",MASA,1:24:16 PM,Friday March 26 2021,Negatif
Charles Prop,"Membalas : BBKP akan gitu2 aja selama masih ada Bosowa di dalamnya. Jangan disamakan lah
bosowa sudah tersangka tuh. dan mereka uda mulai lepas sahamnya pelan2. kemarin uda ilang 1% porsi bosowa",BBKP,1:04:47 PM,Friday March 26 2021,Negatif
Aho Lie,Ccsi kejam mau right issue bert 2 hr yglalu mau masuk kemrn lgs Ara sekrg lgs Arb sungguh....   ,CCSI,1:03:57 PM,Friday March 26 2021,Negatif
Charles Prop,"Membalas : Bakal lbh miris kalau lihat nya BDMN   Harga sisa 1/3
betul bdmn apalagi ya.. Jepang masuk di angka 9000an dibanting sampe 1000an kemarin corona wkwkwk",BDMN,1:03:44 PM,Friday March 26 2021,Negatif
Soebianto,"Membalas : harus lihat supirnya sih pak siapa gampangnya, kalau cuma liat siapa yg invest, tak kasih contoh saja. KB BUKOPIN pengendalinya
Bakal lbh miris kalau lihat nya BDMN  

Harga sisa 1/3",BDMN,1:03:21 PM,Friday March 26 2021,Negatif
Benhan,"Membalas : harus lihat supirnya sih pak siapa gampangnya, kalau cuma liat siapa yg invest, tak kasih contoh saja. KB BUKOPIN pengendalinya
BBKP akan gitu2 aja selama masih ada Bosowa di dalamnya. Jangan disamakan lah",BBKP,1:03:10 PM,Friday March 26 2021,Negatif
Charles Prop,"Membalas : Kalo udah masuk msci kenapa jadi kalem y ? Bandar yg ugal2an dulu pada ke mana? Takut ada satpamnya gitu sekrg y?
uda takut. MG aja uda jarang nongol di antm ",ANTM,12:33:55 PM,Friday March 26 2021,Negatif
Vincent,"Membalas : Yang seperti ARTO ini jarang2 mungkin setahun cuma ada 3-4 emiten yg growthnya secepat ini. All leading to momennya Gojek IPO. I
Tp pergerankannya udh curam pak. Sesuatu yg naik cepet turunnya cepet juga  ",ARTO,11:46:03 AM,Friday March 26 2021,Negatif
Virgaust,"Membalas : Tapi kayanya kudu ARA ini biar jebol resisten 496nya biar HTF kak  
it's ok lah gak HTF juga.
asal base nya kuat, apapun bisa terjadi  
kyk waktu itu IMAS gagal confirm pattern, tpi volume masih kecil. cuma delay 1 minggu sebelum :rocket::rocket::rocket:",IMAS,9:45:12 AM,Friday March 26 2021,Negatif
Eddie,"Baru 10 menit open, BBCA udh dijual asing 50M, awalan yg buruk bagi IHSG   ",BBCA,9:10:44 AM,Friday March 26 2021,Negatif
Bapakne Naila,"Membalas : Karena masih distribusi. Ini sama dengan SAME juga
Kalo saya sih ngira masih reakum lagi, bikin flag. Belum ada selling climaxnya, volume turun kmaren juga rendah",SAME,8:38:57 AM,Friday March 26 2021,Negatif
Erich,"Membalas : dah seperti ada truk melintang di jalan tol. gak bisa ke mana2. mau muterin tanjung harapan? berapa ribu km tuh.
lagian ga ikutan tren digital2 sih kayak ihsg   stuck kan..coba kapal digital, ga akan stuck lama gitu     ",TRUK,8:16:00 AM,Friday March 26 2021,Negatif
Faliq H,"Membalas : IHSG ijo kok transaksi miskin sekali ya.,,apakah bandar lgi rombongan ziarah religi ???
bandarnya dikrangkeng, ga bisa goreng POSA, MYRX, TRAM, JGLE",JGLE,11:30:43 PM,Monday March 29 2021,Negatif
Mbah Bedjo,"Membalas : ERAA road to 3000 semoga semesta mendukung  
Sayangnya semesta gak mendukung   ",ERAA,9:39:54 PM,Monday March 29 2021,Negatif
shendy,"Membalas : Bnba dikunci ARB yg kunci bandar?
dibalik aja... liat harga kaya gitu ritel berani masuk kah?",BNBA,8:19:54 PM,Monday March 29 2021,Negatif
cuaners,"Membalas : Photo
Bnba dikunci ARB yg kunci bandar?",BNBA,8:18:53 PM,Monday March 29 2021,Negatif
Fauzan Tarmizi,"Membalas : Market tidak ada yang tahu pak, tidak semua RI bakalan sukses dan bagus, harusnya tetap berjaga2 ... saya lihat dari awal Maret
Kacau, memang sedikit sekali maya ini total lot harian perdagangannya,

Liat arto RI kemaren, saat ex date, kencengnya bukan main","ARTO,MAIN,MAYA",7:57:22 PM,Monday March 29 2021,Negatif
Fauzan Tarmizi,"Ada yang bisa jelaskan kenapa bank mayapada arb berjilid2 pasca 3 hari cum date RI?

Padahal pas sentimen bank mini terbang, mayapada saya liat kalem2 aja ga ikutan terbang, tetap kisaran 7000'an, lalu tujuan RI juga untuk ekspansi bisnis, tapi kenapa ARB berjilid2 ga berkesudahan ya, sudah FL hampir 53% saya   ",BANK,7:48:46 PM,Monday March 29 2021,Negatif
Vincent,"Membalas : mungkin member sini ada yg nyangkut di BNBA om, makanya dibahas
Saya nyangkut pak, avg 2550 dr untung jd buntung (small portion) thanks buat bei    kalo gada acara suspend suspenan mungkin masih sempet exit sblm dibantai","BNBA,SINI",7:13:12 PM,Monday March 29 2021,Negatif
Panji Wirawan,Sy kena di BBSI itu...hr trkhir sblum drop udah pasang sell di jam 15.05...ga bisa pasang...besoknya smpai hr ini ada kira2 40an % loss...untung MM nya msh aman...kalau ga amsiong itu...,BBSI,6:54:00 PM,Monday March 29 2021,Negatif
ARAKAN IHSG 30MAR - 01 APRIL THE LAST SEROK,"Membalas : Pakde @hmasori ada 3 sektor yg bisa dijadiin pantauan utk next week. 1. Banking 2. Properti dan konstruksi BUMN yg rata2 besok d
Sangkut brp wskt sy jg sangkut santuy itu bandar sdh habis distribusi.. tgl menunggu wkt diangkat jgn dibahas trs pak biar diam2 dinaikin saham kalau trs dibahas diarb kan bandar nnt.. bandar bertebaran di grup mana2 hati2",WSKT,2:58:16 PM,Monday March 29 2021,Negatif
apieth,Sayang amat cent nya ga close d 300 ya pak,CENT,2:52:31 PM,Monday March 29 2021,Negatif
Muhammag kuncoro,Ngapain beli antam 3 bulan sekali cuma orofit  11% beli ikan sehari bisa dapat 25% makasih bandar ngehayal terus    ,IKAN,2:52:21 PM,Monday March 29 2021,Negatif
Yudha,Antm arb,ANTM,2:41:18 PM,Monday March 29 2021,Negatif
rahmad,ikan tuh yg bosen liat ihsg lesu ,IKAN,2:13:04 PM,Monday March 29 2021,Negatif
Yudha,"Antm kemarin terbangin indeks, skrg jd beban indeks  ",ANTM,2:01:12 PM,Monday March 29 2021,Negatif
Hendra,Hk closing aja biar aman  ,AMAN,1:43:34 PM,Monday March 29 2021,Negatif
Faliq H,"Membalas : Dalem banget wskt nya , untung sempet keluar dari kmrn kmrn
Saya baru keluar td di atas, skrng liat ambles dalam rasanya ingin jadi ironmen wkwkwk",WSKT,1:38:04 PM,Monday March 29 2021,Negatif
Alzie Al Fachri,"Dalem banget wskt nya , untung sempet keluar dari kmrn kmrn  ",WSKT,1:37:14 PM,Monday March 29 2021,Negatif
Jay Jay,wskt rugi 9T. lg dibenahi kok. tadi uda ada berita restrukturisasi. apa nanti ada berita jualan tol? restrukturisasi himbara?,WSKT,1:36:58 PM,Monday March 29 2021,Negatif
Tommy Hermes,"Membalas : .... Ya mmg saya salah sih. Beli di pucuk Ga cutloss Rugi 9t wskt And swf ga ngaruh tnyt..
Cutloss wskt 9t ?",WSKT,1:34:24 PM,Monday March 29 2021,Negatif
Denny Wang,"....  Ya mmg saya salah sih. Beli di pucuk

Ga cutloss

Rugi 9t wskt
And swf ga ngaruh tnyt..",WSKT,1:31:54 PM,Monday March 29 2021,Negatif
Denny Wang,"Pakde @hmasori ada 3 sektor yg bisa dijadiin pantauan utk next week.
1. Banking
2. Properti dan konstruksi BUMN yg rata2 besok dapag dukungan momentum pembalik
3. Coal mining yg masih bullish...


Pak @JuthaBram 


Konstruksi  wskt break 1300 pak jutha..

Turun trus ga ada abise..

Apa ak jual saja kah

Loss gila2an.. 30% an","TRUS,WSKT",1:17:10 PM,Monday March 29 2021,Negatif
Johny,"Membalas : Pantau KPAL
TP?",KPAL,11:11:03 AM,Monday March 29 2021,Negatif
Al Blenk,"Membalas : ANTM saham pertama yg saya latihan untuk trading.. itu saham cocoknya 200 poin TP sekali 200 poin TP sekali.. jgn krn mau TP byk
Wkwk bner om.,ANTM dan TINS satu family.,xlo abis rally 150-200 point loyo dah
Emg pas buat celap celup  ","ANTM,SATU,TINS",10:13:26 AM,Monday March 29 2021,Negatif
Fajar Oktavaria,"permintaan saya mudah, jangan mampir ke cent ataupun wiim ya udah gitu aja","CENT,WIIM",10:13:23 AM,Monday March 29 2021,Negatif
ARAKAN IHSG 30MAR - 01 APRIL THE LAST SEROK,"Membalas : Ga punya pasangan om, sendirian dari dulu 
sudah TP gjtl ckkckckck",GJTL,9:48:31 AM,Monday March 29 2021,Negatif
Kaanz ,"Membalas : Dmmx naik tapi tidak dengan volume besar, berarti pola htf nya gagal ya?     
Minggu ini harus breakout kalo tidak bisa berarti pola HTF gaga  ","DMMX,POLA",9:11:36 AM,Monday March 29 2021,Negatif
Eriant Yosua,Ada yg tau kenapa bbca downtrend ? Kira2 suport terdekat dmn ya?,BBCA,7:33:05 AM,Monday March 29 2021,Negatif
Rocky Thohir,"Membalas : Wah sabotase ?
Pure bencana",PURE,2:28:40 AM,Monday March 29 2021,Negatif
