,Unnamed: 0,Data,User,Pesan,Saham,Jam,Tanggal,Status
188,188,189,Soebianto,"BBRI malah kuat sekali, padahal ex cum ya",BBRI,9:42:58 AM,Tuesday April 6 2021,Positif
194,194,195,Muhammag kuncoro,Wskt ijo yukkkk,WSKT,9:31:32 AM,Tuesday April 6 2021,Positif
199,199,200,Muhammag kuncoro,Wskt ayo araaaaa,WSKT,9:25:41 AM,Tuesday April 6 2021,Positif
203,203,204,Ocha,Serok wsbp lumayan,WSBP,9:09:51 AM,Tuesday April 6 2021,Positif
209,209,210,Ronny,"Membalas : Eh ga boleh bully IHSG terus , semoga semsta mendukung hari ini IHSG rebound keceng
semoga bbri mendukung   ",BBRI,8:55:15 AM,Tuesday April 6 2021,Positif
210,210,211,Angga Bhara,"Akra ath nya masih jauh ternyata
Ini adalah foto
",AKRA,7:46:28 AM,Tuesday April 6 2021,Positif
19,19,20,Andreas Teddy,Ga sekalian nyalahin miss EM yang bilang Agro Agro Agro tapi turun  ,AGRO,9:29:06 PM,Tuesday April 6 2021,Negatif
37,37,38,Wafa,"Membalas : 2-3 ARB lagi lah ya https://www.tradingview.com/x/Ee9c4u2Y/
10 kali arb baru dapet uma,trus akhir maret ada transaksi nambah 9 hari lagi arbnya ",TRUS,8:49:52 PM,Tuesday April 6 2021,Negatif
40,40,41,Kaanz',"Membalas : Amit2. 13x ARB tanpa UMA  
Jelas beda  BNBA ARA juga tanpa konsolidasi , bahaya ",BNBA,8:28:40 PM,Tuesday April 6 2021,Negatif
41,41,42,Faliq H,"Membalas : Iyak pak asal jngan kayak BNBA  , setalh naik pesat dihajar  
Amit2. 13x ARB tanpa UMA  ",BNBA,8:27:57 PM,Tuesday April 6 2021,Negatif
48,48,49,Meneer Greg,BNBA arb 13x,BNBA,8:20:49 PM,Tuesday April 6 2021,Negatif
56,56,57,Kaanz',"Membalas : Semoga kyk arto 4x.lipat 
Iyak pak asal jngan kayak BNBA  , setalh naik pesat dihajar  ","ARTO,BNBA",7:59:22 PM,Tuesday April 6 2021,Negatif
109,109,110,Yudha,Same di haki terus ya bund MS duitnya di bid ga abis2  ,SAME,2:34:39 PM,Tuesday April 6 2021,Negatif
198,198,199,Fajar Suryo,apakah WSKT pulang ke 3 digit?,WSKT,9:25:46 AM,Tuesday April 6 2021,Negatif
200,200,201,A T,Film mau arb pada take propit,FILM,9:17:48 AM,Tuesday April 6 2021,Negatif
202,202,203,Fajar Suryo,Sayonara MPPA  ,MPPA,9:14:01 AM,Tuesday April 6 2021,Negatif
206,206,207,Humam,udah tidur dong wskt.. ,WSKT,9:04:21 AM,Tuesday April 6 2021,Negatif
207,207,208,Satrio Wahyu Prasetyo,WSKT langsung arb,WSKT,9:04:06 AM,Tuesday April 6 2021,Negatif
