Pesan,Status
"Membalas : Ini nih yg namanya cut your loss and protect your profit  
berkat guru-guru disini pak benhan  
semenjak para guru disini sharing pengalaman, saya berpendapat tidak perlu waktu lama untuk bisa ""cut your loss and protect your profit"" atau sederhanakan saja menjaga modal
cukup akui kesalahan dan belajar dari kesalahan   
*notes jika ada yang bertanya saat itu kesalahan terbesar saya dimana, itu saat asri dan dkft htf (disini saya tidak mempersiapkan TS ataupun SL)",Negatif
"Membalas : engga cutloss jadinya pak, malahan jadi profit  
Benar, maksudnya dah pasang stoploss buat Senin? Kemungkinan bisa turun lagi nih",Negatif
"Membalas : Saya lagi mau coba ini di next trade: never average down. Kalau loss artinya kita salah masuk, ya cepat keluar. Cari opportunit
Minervini itu juga ga pernah average down ternyata...just cut if you make wrong decision.",Negatif
"Membalas : Kalau benar avg Anda 1020, ga perlu ragu Bu. Saya rasa Senin ini ga akan sempat avg down karena harganya dah naik duluan
Tadi pagi saya diskusi ama tmn via pm di bantah ama dia, jelek itu smra , makanya saya cari second opinion",Negatif
"Saya lagi ragu pak Rakhmad, krn uda tinggi tapi masi uptren dan topik pagi ini   Adalah avrg down",Negatif
"Membalas : Average down saya selama ini cuma berhasil untuk keluar di break even modal. Dan itu butuh berminggu2 nunggu reversalnya... Di
Avg down di saham sebenarnya sama saja membeli lagi saham (tapi code sahamnya sama) di harga yang lebih rendah berharap akan naik ke harga breakevennya atau lebih. Sama saja dengan cutloss saham tadi terus membeli saham lain yang diharapkan akan naik juga (cuma kode saham nya pasti berbeda). Karena sudah salah posisi harusnya jangan avg down. Pindah ke lain saham.",Negatif
"Kalo turun, kita average down 2x di bottom",Negatif
Sudah paham sebenernya resiko loss di saham itu ada. Tapi pada saat itu terjadi susah sekali untuk mengambil keputusan cut loss...,Negatif
Saya ga akan putus assa lg ampe pinjem KTA .. Itu same aja balik lg ke lubang hitam.. Mending natural aja.. Wish me luck....  ,Negatif
"Membalas : Cut lost dulu aja pak senen. Beli yang ASIIk biar bisa join ngobrol disini
Saya ijin KBAG keuangan dulu pak kalau mau cutloss....  ",Negatif
"Membalas : Sahamku LPPF bingung dirangkai jadi kata apa ya   
Cut lost dulu aja pak senen. Beli yang ASIIk biar bisa join ngobrol disini",Negatif
"Membalas : Masih mending sih pinjem bank buat trading ketimbang margin. Kalau margin kan ada margin call dan harus force sell kalau pinjem
Loh saya pinjem ke bank nya terus dipake trading pake margin.. Kurang apa   ",Negatif
"Membalas : Saham mana yg arb berhari2
IKAN mungkin wkwk",Negatif
"Membalas : anak forex TA nya kuat nih  
Loss di forex pahit pak. Lossnya sampe ambles2 ga bersisa krn leveragenya lebih dashyat puluhan sampe ratusan kali lipat dr margin ihsg",Negatif
"Membalas : Back Test kenaikanorpenurunan Ex date SS.pptx
wah, BRPT kemarin tidak menyenangkan yah",Negatif
"#SAME. Sy ga pnya, dan ga pnya intensi apa pun. Grs hitam mnrt sy sinyal jual by candle. Hebatnya GPL lgsung naik lg. Sinyal sell terbaru muncul Rabu. Kamis muncul hammer. When to buy?
Ini adalah foto
",Negatif
"Membalas : Td pas pak HM bahas passion, sy trtarik hehe.. krn gini, ini kan arb msh 7%, dsaat arb 7% market koreksi trader2 yg bru join di
Pasang stoploss 5% aja dijamin aman dari ARB mau berapa persenpun. Asal bukan di saham yg ga liquid",Negatif
"#CMNP ascending base. Struktur harga - volume kurang bagus. Hr ini ditarik gila2an. Sy pnya tapi saya khawatir .
Ini adalah foto
Ini adalah foto",Negatif
"Membalas : Yup, swing low confirmed. Semoga 1 april akan jadi last chance to buy before start to retest 6550 lagi di april-Mei...
Untuk ihsg?  6050an itu sdh bottom nya pak jutha?  @JuthaBram 

Btw. Wskt cm turun sedikit meskipun lap keu jelek.. dijagain bandar?",Negatif
Waduh CLRA arb da berhari hari,Negatif
Essa ngamuk,Negatif
bmri kemungkinan bid palsu dr tadi ga kuat2 nanjak  ,Negatif
"Membalas : Langsung drop LPPF karena ga boleh mudik
Ini mksdnya pak kadg udh kita analisa dgn berbagai mcm ilmu e kena prank lgs koit   ",Negatif
Langsung drop LPPF karena ga boleh mudik,Negatif
"Membalas : Keinget saham MASA om, siapa tau ada cerita yg sama kd go private gitu , dpt durian runtuh kalo sahamnya bener
masa dah beberapa kali gagal go private nya. harganya kurang seru  ",Negatif
"Membalas : Keinget saham MASA om, siapa tau ada cerita yg sama kd go private gitu , dpt durian runtuh kalo sahamnya bener
Harus liat produk ny jg si pak kenapa bs mau go private. Sngt minim sekarang prusahaan mau go private apalagi lg pandemi gini BU semua",Negatif
"Membalas : Ya kalau kita uda tau mending menjauh saja pak.
Keinget saham MASA om, siapa tau ada cerita yg sama kd go private gitu  , dpt durian runtuh kalo sahamnya bener",Negatif
"Membalas : BBKP akan gitu2 aja selama masih ada Bosowa di dalamnya. Jangan disamakan lah
bosowa sudah tersangka tuh. dan mereka uda mulai lepas sahamnya pelan2. kemarin uda ilang 1% porsi bosowa",Negatif
Ccsi kejam mau right issue bert 2 hr yglalu mau masuk kemrn lgs Ara sekrg lgs Arb sungguh....   ,Negatif
"Membalas : Bakal lbh miris kalau lihat nya BDMN   Harga sisa 1/3
betul bdmn apalagi ya.. Jepang masuk di angka 9000an dibanting sampe 1000an kemarin corona wkwkwk",Negatif
"Membalas : harus lihat supirnya sih pak siapa gampangnya, kalau cuma liat siapa yg invest, tak kasih contoh saja. KB BUKOPIN pengendalinya
Bakal lbh miris kalau lihat nya BDMN  

Harga sisa 1/3",Negatif
"Membalas : harus lihat supirnya sih pak siapa gampangnya, kalau cuma liat siapa yg invest, tak kasih contoh saja. KB BUKOPIN pengendalinya
BBKP akan gitu2 aja selama masih ada Bosowa di dalamnya. Jangan disamakan lah",Negatif
"Membalas : Kalo udah masuk msci kenapa jadi kalem y ? Bandar yg ugal2an dulu pada ke mana? Takut ada satpamnya gitu sekrg y?
uda takut. MG aja uda jarang nongol di antm ",Negatif
"Membalas : Yang seperti ARTO ini jarang2 mungkin setahun cuma ada 3-4 emiten yg growthnya secepat ini. All leading to momennya Gojek IPO. I
Tp pergerankannya udh curam pak. Sesuatu yg naik cepet turunnya cepet juga  ",Negatif
"Membalas : Kalo misal sekarang arb pun belum masuk ke harga yang saya pengen
     jgn lagi dong arb jantung saya takut gak kuat  ",Negatif
Kalo misal sekarang arb pun belum masuk ke harga yang saya pengen   ,Negatif
"Membalas : Ia byk yg nyangkut
merasa berdosa jual d 3400 dulu",Negatif
"Membalas : Tapi kayanya kudu ARA ini biar jebol resisten 496nya biar HTF kak  
it's ok lah gak HTF juga.
asal base nya kuat, apapun bisa terjadi  
kyk waktu itu IMAS gagal confirm pattern, tpi volume masih kecil. cuma delay 1 minggu sebelum :rocket::rocket::rocket:",Negatif
"Baru 10 menit open, BBCA udh dijual asing 50M, awalan yg buruk bagi IHSG   ",Negatif
"Ada apa dengan IHSG sih, sedih. Rasanya kayak di ghosting  ",Negatif
"Membalas : tapiii...bursa lain merah ihsg pasti merah   
seengganya, IHSG tampil apa adanya koh. merah ya merah   tidak membuat tersenyum diawal untuk disakiti kemudian  ",Negatif
"Membalas : tapiii...bursa lain merah ihsg pasti merah   
begitu ihsg merah, aplikasi Protrader saya langsung bug ga bisa liat indeks   ",Negatif
"Membalas : bursa lain bole ijo...ihsg harus merahhhhhh
tapiii...bursa lain merah ihsg pasti merah   ",Negatif
"Membalas : Arb pak
bukan ARB, belum tentu itu.

@C4lcio belum tentu juga pak.

harga sahamnya dibagi pak, jika SS dengan rasio 1:3 misalnya, harga sahamnya jadinya dibagi 3,
tapi lot yang dimiliki juga dikali 3,
semua terjadi ketika exdate, tidak ada proses lagi setelahnya.
hitungan2 bapak diatas itu ndak valid.",Negatif
"Membalas : tahu ndak apa yang terjadi di exdate ketika SS?
Arb pak",Negatif
"Membalas : https://www.cnbcindonesia.com/market/20210326073918-17-232977/catat-erick-umumkan-indonesia-battery-corporation-sore-ini
sell on news?? makin ancur dunk si TIA itu  ",Negatif
"Membalas : Karena masih distribusi. Ini sama dengan SAME juga
Kalo saya sih ngira masih reakum lagi, bikin flag. Belum ada selling climaxnya, volume turun kmaren juga rendah",Negatif
"Membalas : dah seperti ada truk melintang di jalan tol. gak bisa ke mana2. mau muterin tanjung harapan? berapa ribu km tuh.
lagian ga ikutan tren digital2 sih kayak ihsg   stuck kan..coba kapal digital, ga akan stuck lama gitu     ",Negatif
"Membalas : https://www.cnbcindonesia.com/market/20210324141434-17-232525/diskon-gede-karyawan-bisa-beli-saham-bank-agro-murah-meriah
Lanjutkan turunnya  ",Negatif
"Membalas : Photo
Pak guru untuk SAME masih hold donk sampe sekarang,cz semenjak harga break EMA60 di 90an masih setia sm EMA 20 nya,, yakin sm EMTK ,,
Jualnya kalo trend berbalik arah EMA20 memotong kebawah EMA60",Netral
"Membalas : Mohon pendapat dari teman2 yang sudah senior di sini. Pertanyaan dari pemula. Mengenai saham DOID. Apa perlu diavg down ketik
Kalo sy,cz tipe trend folowing untuk kasus doid yg salah entri,,hold,CL bila candle close dibwh 432 n buyback/avgdown bila harga sentuh n mantul di EMA 20,pasang SL dibwh EMA 20",Netral
"Saya SAME tahun lalu sempat beli waktu break MA200D/MA50W tp masi pethakilan, belum tahu teknik2 entry yg bagus dan kapan kudu di hold jadinya ya dijual lg begitu cuan....

Andaikan saya hold   ",Netral
"Membalas : Saya waktu itu beli jg agak tinggi Bu, avg d 1040, waktu menyentuh 990 saya CL, lalu sy pantau karena saya cukup yakin ini hanya
saya beruntung di smra untuk tetap bertahan mentalnya buat beli di deket area necklinenya    ",Netral
Kalo keseringan cutloss modal bisa abis... Kalo pake uang dingin mending hold aja,Netral
"Membalas : Photo
besok atau lusa halt kak rui libur lanjut senin    ",Netral
"Kalau boleh komen, ini bukan 3 black crows kak ... 3 black crows itu kalau openingnya selalu di tengah body sebelumnya lalu harga ditekan ke bawah lagi, 3 kali berturut2

SAME sudaha ada hammer 2 hari lalu, dan hari ini terdorong keatas tapi volume lebih kecil dari 2 hari lalu

Kalau saya pribadi akan menunggu di kisaran 416 - 420 lagi  
Ini adalah foto",Netral
"Saya juga sabar tuh pak dulu diem2 ngumpulin DOID bahkan pas nyungsep dibawah 300, bahkan IHSG gerak dia gerakannya gk jelas",Netral
wiihh cakep ini...semoga yang laen juga masih hold ga ada yg cut loss..#gapunyaSAME,Netral
"Membalas : antm sudah masuk msci harga sudah dijaga. ga akan sevolatile dulu lagi
kalo antm sih saya tinggal tdr aja  ",Netral
Mari masih alot ya ke 270,Netral
"Membalas : tapiii...bursa lain merah ihsg pasti merah   
bursa lain merah, IHSG HALT!",Netral
"INCO area demand, ada yang lagi ngumpul in banyak banget.
Ini adalah foto",Positif
"Membalas : Photo
Tentu ada alasan naik tinggi. Yg sy ingat inkp tkim brpt dan tpia naik multibagger krn fundamentalnya bagus. Lompatan laba ratusan persen didukung penjualan yg juga naik dst..",Positif
"Membalas : Sales eraa ini beneran hehe
ERAA road to 3000
semoga semesta mendukung  ",Positif
"Seperti nya CENT jg potensi membentuk cup and handle juga pak guru Eko Bawono , jika pola SSP gagal minggu ini, kalo dilihat dari volume jg mendukung, bagaimana dengan pendapat pak guru  time frame 4h
Ini adalah foto",Positif
Hrum knp kuat sendiri ya?,Positif
"Membalas : Ada yang bisa jelaskan kenapa bank mayapada arb berjilid2 pasca 3 hari cum date RI? Padahal pas sentimen bank mini terbang, may
Market tidak ada yang tahu pak, tidak semua RI bakalan sukses dan bagus, harusnya tetap berjaga2 ... saya lihat dari awal Maret sampai RI itu MAYA sempet digoreng kencang lho ... dari 3000an k 7000... itu juga diterbangkan kak",Positif
"Membalas : Biasa ada tuh yg beli? Kirain kondisi gini arb ngetem aja ahaha
Ya ngetem berhari2 waktu itu saya, untungnya ada yang ngegoreng lagi jadinya bisa keluar",Positif
"Membalas : Itu volume gede waktu ngangkat bandar atau retail ya?  Apa bukan bandar yg angkat ARA berjilid2 gitu? Kalo gitu bandar + retail
Good question, yg keluarin duit gede buat naikin harga dgn volum setinggi itu masih pada di dalem, suhu2 apa ada yg bs kasih pemcerahan?",Positif
"takut ke 5.800 beneran gak sih tuh? kemrn udh gila2an, masa hr ini juga",Positif
"Membalas : mungkin member sini ada yg nyangkut di BNBA om, makanya dibahas
Kalo diliat pas naiknya itu banyak yang ngomongin sih disini, mungkin iya ada yang nyangkut",Positif
"Membalas : Pak kl misal kita terjebak di saham ARB berhari2 gmn cara keluar terbaik? Mksdnya kita bs mendahului antrian bandar untuk keluar
jauh sebelum opening pasang jualnya dari malam, sisanya berdoa aja semoga ada yang beli  ",Positif
TT langsung ARa,Positif
"Membalas : Photo
buset jantungnya kuat? dari arb jd ara",Positif
"Congrats yg punya era... ARA hari ini
Ini adalah foto",Positif
Ikan sesi 2 ara   ,Positif
"candle volume W2 Cent  lebih tinggi dari candle pertama, candle Volume W3 nya harus lebih tinggi ya untuk SSP nya??",Positif
ERAA jgn ketinggalan kereta :rocket::rocket:,Positif
"Membalas : saya baru sadar hari ini volumenya lumayan besar juga ya
Tanda"" pak, harganya turun tapi volume beli naik ",Positif
"Membalas : Deviden BBCA Final: Rp 530 / lembar Adjustment: Dikurang deviden interim Rp 98 di 22 Desember 2020 Sisa: Rp 432 / lembar Cum d
wow naik 2x dr thn lalu ya",Positif
"Deviden BBCA
Final: Rp 530 / lembar 
Adjustment: Dikurang deviden interim Rp 98 di 22 Desember 2020
Sisa: Rp 432 / lembar

Cum date: 5 April 2021
Ex Date: 6 April 2021
Rec Date: 7 April 2021
Payment Date: 28 April 2021",Positif
"Membalas : Betul pak , pas di fibonacci 0,618 
Perusahaan clover beli diharga 262 pak, jadi kalo jebol di 260 udah ga menarik lagi ",Positif
"Membalas : CENT ke 250 aja lbh menarik
170 lg boleh tak  ",Positif
CENT ke 250 aja lbh menarik,Positif
"Membalas : beli di 302 ya?
buy if break 300 nya pas market jalan  ",Positif
"Membalas : CENT kira kira masih bisa naik ga ya
Semua bisa naik atau turun says yg didlm ngarepin naik sebaliknya ",Positif
Poly yuk gaes entry 72 jual besok 80,Positif
"Membalas : CENT kira kira masih bisa naik ga ya
beli di 302 ya?",Positif
CENT kira kira masih bisa naik ga ya,Positif
"Membalas : *CENT* *Clover Universal Tambah Kepemilikan di Centratama (CENT) Jadi 47,95 Persen* *_Entitas anak dari Northstar Advisors Pte
Ayo haka2 lg  ",Positif
BKSL Gassss,Positif
"Membalas : pasti happy dong minggu lalu aja pembahasan saham lain dikiranya cent  
Kli untung pasti hepi  ",Positif
"Membalas : CENT break 300 minggu ini confirm SSP
Wah CENT yang haka member the traders disini ini  ",Positif
"Membalas : Kata pakde HM kalo break 300 confirm ssp apa nunggu break ya buat avg up
""CENT break 300 minggu ini confirm SSP"", minggu ininya jangan lupa dibaca juga ya pak
missleading nanti jadinya  ",Positif
"Membalas : Makin ramai = biaya yg harus dikeluarkan bandar makin besar maka bisa merusak pola,
Betul  mngkanya jangan diomongin terus 

Ardiyan kalo break bisa cicil jngan all in, tunggu candle konfirm hari jum'at karna hitungan weekly, berhubung jum'at tanggal merah jadi hari kamis ",Positif
"Membalas : Cent masi boleh avg up gak ya?
Boleh asal tau aturan avg up",Positif
"Membalas : Kata pakde HM kalo break 300 confirm ssp apa nunggu break ya buat avg up
Minggu ini bukan hari ini, SSP weekly bukan daily
jadi confirmnya ya nanti kamis
jika mau avg up ya lebih baik saat confirm *jika alasannya pola, jika RI lain urusan",Positif
"Cent jadi rame, bukan saya yg rame in yaa   Aho    ",Positif
"Membalas : CENT break 300 minggu ini confirm SSP
Sy udh curi start duluan pak    ",Positif
"Membalas : SAME gmana ci? Masih boleh masuk?
Saya masi nawar ala emak2 di 420an kak   ",Positif
"Membalas : CENT break 300 minggu ini confirm SSP
Mantap pak de masih fullcash nunggu SSP , udah nunggu dari kemarin ",Positif
CENT break 300 minggu ini confirm SSP,Positif
"Membalas : Gd luck
siyap haka LUCK.  ",Positif
Wah cent ada repo,Positif
"Meneer #ASRI sepertinya ini valid buy y pak  
Ini adalah foto",Positif
serem antm dipagerin 559K lot   ,Positif
"Membalas : Hr ini CENT nya ngegas trs  
Saya gasss...in    ",Positif
Hr ini CENT nya ngegas trs  ,Positif
"Ga da plan trading, ya beli PLAN aja ",Positif
"Membalas : https://www.cnbcindonesia.com/market/20210316115228-17-230456/lunasi-repo-trimegah-sekuritas-lepas-saham-cent-rp-398-m
Cent ini rumournya dibeli Digital colony",Positif
"Bbri deviden rp. 98.9 eeuuyyy
Ini adalah foto",Positif
"Membalas : CENT RI kapan ya? Udah ada tanggal nya kah?
Belom ada tanggalnya, lagi dikerek tu, paling sebentar lagi keluar tanggal RI nya  ",Positif
WIIM ciamik tenan,Positif
"Caution! 
CENT is the buyer for ISAT 4k tower, heard buying at around USD740mn. This is a very good pricing as we are expecting at around USD570-600mn tower sales value.

+ Positive for ISAT as it strengthens the balance sheet and ample of capital for future spectrum acquisition/capex

+ CENT announced their plan for RI, targeting to issue 34bn shares",Positif
"Membalas : CENT nya jgn lupa  
BO kayaknya",Positif
"Berusaha mengakhiri fase downtrend, hr ini BRPT mencoba menembus level psikologis 1.000.

Recommendation: Spec BUY
Target Price I: 1.120
Target Price II: 1.225
Stop Loss: < 930

Disclaimer


Credit: @quantumresearch_idx
Ini adalah foto",Positif
ASSA terbang lg yuk  ,Positif
Wood jpfa main haka,Positif
"Membalas : Essa ada isu apa
Harga amonia naik trs makanya ESSA ngegas tiap hr",Positif
"Dmmx naik tapi tidak dengan volume besar, berarti pola htf nya gagal ya?     ",Positif
"Membalas : BBTN rebound ga si hrusnya gais?
Kemungkinan iya",Positif
"Membalas : https://ekonomi.bisnis.com/read/20210327/257/1373282/cukai-batal-naik-produsen-rokok-kretek-tangan-bernapas-lega#.YF63BZSm09Q.wh
Hmsp bagus ya pak billy karna cukai dibatalkan?",Positif
"Membalas : besok ijo tebel
Bukan masalh ijonya.,tpi trnsaksinya ,.ihsg ijo tpi emiten bluechip dll pda kebakar   ",Negatif
"Membalas : IHSG ijo kok transaksi miskin sekali ya.,,apakah bandar lgi rombongan ziarah religi ???
bandarnya dikrangkeng, ga bisa goreng POSA, MYRX, TRAM, JGLE",Negatif
"IHSG ijo kok transaksi miskin sekali ya.,,apakah bandar lgi rombongan ziarah religi ???  ",Negatif
"Membalas : ERAA road to 3000 semoga semesta mendukung  
Sayangnya semesta gak mendukung   ",Negatif
"Membalas : Bnba dikunci ARB yg kunci bandar?
dibalik aja... liat harga kaya gitu ritel berani masuk kah?",Negatif
"Membalas : Photo
Bnba dikunci ARB yg kunci bandar?",Negatif
"Membalas : pernah coba tapi gagal,krna di setiap jam buka langgsung d ARB, jadinya nyangkut terus
pasangnya harga arb juga... nanti ketika ga dikunci langsung lepas sendiri...
sementara ketika masih dikunci sih ya pasti belon bisa wong ga ada yang buyernya",Negatif
"Membalas : yes
pernah coba tapi  gagal,krna di setiap jam buka langgsung d ARB, jadinya nyangkut terus",Negatif
Gak terlalu meyakinkan buat saya sih,Negatif
"Membalas : Market tidak ada yang tahu pak, tidak semua RI bakalan sukses dan bagus, harusnya tetap berjaga2 ... saya lihat dari awal Maret
Kacau, memang sedikit sekali maya ini total lot harian perdagangannya,

Liat arto RI kemaren, saat ex date, kencengnya bukan main",Negatif
"Ada yang bisa jelaskan kenapa bank mayapada arb berjilid2 pasca 3 hari cum date RI?

Padahal pas sentimen bank mini terbang, mayapada saya liat kalem2 aja ga ikutan terbang, tetap kisaran 7000'an, lalu tujuan RI juga untuk ekspansi bisnis, tapi kenapa ARB berjilid2 ga berkesudahan ya, sudah FL hampir 53% saya   ",Negatif
"Membalas : Begitu tutup bursa, lsg masukkan order sell di harga ARB besok harinya dan berdoa bin berharap ada yang berbaik hati mau jemput
Biasa ada tuh yg beli? Kirain kondisi gini arb ngetem aja ahaha",Negatif
"Membalas : mungkin member sini ada yg nyangkut di BNBA om, makanya dibahas
Saya nyangkut pak, avg 2550 dr untung jd buntung (small portion) thanks buat bei    kalo gada acara suspend suspenan mungkin masih sempet exit sblm dibantai",Negatif
"Membalas : Olt apa yg bisa order sehari sebelumnya pak?
Sesama korban ARB, mau ikut antri  ",Negatif
"Membalas : Photo
Cuman sebatas ARA 3X pak... apa kabar yg ambil dari bawah terus jual di pucuk?",Negatif
Pak kl misal kita terjebak di saham ARB berhari2 gmn cara keluar terbaik? Mksdnya kita bs mendahului antrian bandar untuk keluar?,Negatif
"Membalas : ARB berjilid2 bgni apa nggak di suspend y? Maaf, newbie bertanya.
BEI mah cuek aja",Negatif
"Membalas : Photo
Salah Langkah, Bandarnya sadis, mau d ARB kan brp kali supaya dia puas ",Negatif
Sy kena di BBSI itu...hr trkhir sblum drop udah pasang sell di jam 15.05...ga bisa pasang...besoknya smpai hr ini ada kira2 40an % loss...untung MM nya msh aman...kalau ga amsiong itu...,Negatif
"Membalas : Supirnya mengerikan ini pak guru, sekali dihantem ga dikasih ampun
Pernah dari +10% tiba2 arb wkwk",Negatif
"Membalas : Photo
Domestik yg mst di tindak.. mreka yg td kompak mengarb kan saham hingga ihsg lemah.. tktny ad broker domestik yg jd akun asing",Negatif
"Rombongan KCL,, Korban Cut Loss  ",Negatif
"Membalas : Pakde @hmasori ada 3 sektor yg bisa dijadiin pantauan utk next week. 1. Banking 2. Properti dan konstruksi BUMN yg rata2 besok d
Sangkut brp wskt sy jg sangkut santuy itu bandar sdh habis distribusi.. tgl menunggu wkt diangkat jgn dibahas trs pak biar diam2 dinaikin saham kalau trs dibahas diarb kan bandar nnt.. bandar bertebaran di grup mana2 hati2",Negatif
Sayang amat cent nya ga close d 300 ya pak,Negatif
Ngapain beli antam 3 bulan sekali cuma orofit  11% beli ikan sehari bisa dapat 25% makasih bandar ngehayal terus    ,Negatif
Antm arb,Negatif
akhirnya antim arb wkwk,Negatif
"Membalas : Dpt harga 278 hr ini udh bagus menurut saya 
Hahaha cicil dulu 1 lot pak  rugi pun ga seberapa kalo turun di 268 ",Negatif
IHSG merah saatnya gorengan cryspy  ,Negatif
ikan tuh yg bosen liat ihsg lesu ,Negatif
Sepi amat ihsg cuma 6T  ,Negatif
"Membalas : Sdh diem yuk biar senyap dulu,biar turun dulu, nanti beli lg  
Gak bkln kash turun dibawah 278 klo pegamatan saya",Negatif
"Membalas : Betul disitu ada area suportnya , cmiww
Sdh diem yuk biar senyap dulu,biar turun dulu, nanti beli lg  ",Negatif
"Antm kemarin terbangin indeks, skrg jd beban indeks  ",Negatif
"Membalas : 224 lagi plis
ARB brp kali ini  ",Negatif
"Membalas : Photo
Hampir aja nyesel jual di 298",Negatif
Hk closing aja biar aman  ,Negatif
ihsg mulai nyungsep ,Negatif
gmana brani jalanin swf kl masi sering bom sana sini?    ,Negatif
"Membalas : Dalem banget wskt nya , untung sempet keluar dari kmrn kmrn
Saya baru keluar td di atas, skrng liat ambles dalam rasanya ingin jadi ironmen wkwkwk",Negatif
"Dalem banget wskt nya , untung sempet keluar dari kmrn kmrn  ",Negatif
wskt rugi 9T. lg dibenahi kok. tadi uda ada berita restrukturisasi. apa nanti ada berita jualan tol? restrukturisasi himbara?,Negatif
"Membalas : .... Ya mmg saya salah sih. Beli di pucuk Ga cutloss Rugi 9t wskt And swf ga ngaruh tnyt..
Cutloss wskt 9t ?",Negatif
"....  Ya mmg saya salah sih. Beli di pucuk

Ga cutloss

Rugi 9t wskt
And swf ga ngaruh tnyt..",Negatif
"Pakde @hmasori ada 3 sektor yg bisa dijadiin pantauan utk next week.
1. Banking
2. Properti dan konstruksi BUMN yg rata2 besok dapag dukungan momentum pembalik
3. Coal mining yg masih bullish...


Pak @JuthaBram 


Konstruksi  wskt break 1300 pak jutha..

Turun trus ga ada abise..

Apa ak jual saja kah

Loss gila2an.. 30% an",Negatif
"Ihsg ijoo, kok sepi yaaa, lemah lesuu",Negatif
"Membalas : Pantau KPAL
TP?",Negatif
"Membalas : ANTM saham pertama yg saya latihan untuk trading.. itu saham cocoknya 200 poin TP sekali 200 poin TP sekali.. jgn krn mau TP byk
Wkwk bner om.,ANTM dan TINS satu family.,xlo abis rally 150-200 point loyo dah
Emg pas buat celap celup  ",Negatif
"permintaan saya mudah, jangan mampir ke cent ataupun wiim ya udah gitu aja",Negatif
"Membalas : Ga punya pasangan om, sendirian dari dulu 
sudah TP gjtl ckkckckck",Negatif
"Membalas : Dmmx naik tapi tidak dengan volume besar, berarti pola htf nya gagal ya?     
Minggu ini harus breakout kalo tidak bisa berarti pola HTF gaga  ",Negatif
Ada yg tau kenapa bbca downtrend ? Kira2 suport terdekat dmn ya?,Negatif
"Membalas : Wah sabotase ?
Pure bencana",Negatif
"Membalas : Lha kan kemarin sudah janji sama bu Nana  
Trimakasi Meneer saya baru sampe rmh, besok pagi baru bisa baca lbh detail, 

slamat malam dan beristirahat",Negatif
"Contoh lainnya,, saham yg lurus tau tau bisa meledak, kesukaannya LKH  ,, eniwe inkp tkim dlu juga konsol di lama di 1000an klo ga salah
Ini adalah foto",Netral
"Membalas : takut ke 5.800 beneran gak sih tuh? kemrn udh gila2an, masa hr ini juga
Klo takut jgn masuk tunggu kondusif ",Netral
"Membalas : Sayang amat cent nya ga close d 300 ya pak
Gk usah buru2   yg penting endingnya cakep   di hr kamis besok  ",Netral
"Membalas : Jangan ngikutin saya, saya keluar masuk buat menuhin fee broker aja biar real timenya gratis
    ... ya memang sesuai trading plan masing2    ... saya masi hold CENTnya ... belajar dari SAME, selama momentum belum hilang, tahaaaannnnn!!!    ",Netral
"Membalas : Byk yg tetep didlm ada yg krluar masuk semuanya punya kelebihan dan kekurangan tergtg psikologi org cocoknya jgn ikut2 an tar ma
Biasanya saya tetap didalam mengandalkan TS untuk TP-nya

Tapi CENT ini sering bikin jarum suntik, jadi sangat cocok buat keluar masuk (Jual atas ambil lagi bawah)",Positif
"Membalas : BBYB : RUPS Pelaksanaan Right Issue di tgl 31 Mar, dimana jadwal pelaksanaan sebelumnya sempat ditunda...
Ah baru baca ini.. pantas BBYB hari ini volumenya besar",Positif
"Membalas : Kawal bareng2 yuk  
Saya selalu bareng cent Sampai semesta bilg cukup  ",Positif
"Membalas : I see, jadi digital colony bisa dibilang pemilik CENT ya om? Thankyou infonya
Digital Colony mau akuisisi CENT. Sepertinya right issue nanti standby buyernya mereka",Positif
"Membalas : Itu ada jawabannya di atas
I see, jadi digital colony bisa dibilang pemilik CENT ya om? Thankyou infonya",Positif
Hidup pak benhan juga hidupkan Cent  ,Positif
"Membalas : Haka CENT
Jam 2 keluar news ini  .",Positif
"Membalas : Photo
Haka CENT",Positif
"Membalas : Photo
Ini tgl tnggu ada yg narik aja, ke goceng juga enteng,, model2an kaya isat",Positif
Guys ad yg msh pegang eraa berarti bsok saham kita udh pecah nominal+jadi banyak ya,Positif
"Wskt, Ptpp nya lagi diskon ya boend ",Positif
"Membalas : kan patriotik kak, MERAH DARAHKUUUU!!!      
dapet ini pasti same di ma 20 kan mba rui    ",Positif
"Membalas :   
Qjd inget pas ihsg merah2 trus tiba2 ditarik ijo mas..wkwkwkwk",Positif
Tetap bersyukur ACES ijo... ,Positif
"Ini pgas napa om, kok broker saham bandar pada pungutin?
Ini adalah foto",Positif
yok essa ribon yokk,Positif
Cent ngamuk,Positif
"Membalas : PTPP itu lq45 pak
Fundamental ptpp oke lah, bagi dividen juga. Tunggu beberapa bulan lg juga naik pak",Positif
"BACA ambroll nih, ada yg mau hajar gk?",Positif
"Same biasa kuat di ma20, akankah kini juga akan mantul di sana?",Positif
Awassss siapp2 cent mau terbang    ,Positif
"Membalas : Asik, buat serok ini. Hu Billy mau tunggu di 5700 ?
Emiten nya hu Billy aman ga terpengaruh badai   ",Positif
DNAR & BGTG get ready?,Positif
Semoga ERAA ijo besok SS,Positif
Baca ara guys. Selanjutnya apa ya? Bbyb?,Positif
BBHI bangkit dr kubur,Positif
