,Normal,Status,token
309,sopir keri hantam kasih ampun arb,Negatif,"['sopir', 'keri', 'hantam', 'kasih', 'ampun', 'arb']"
310,domestik tindak kompak arb lemah takut broker domestik akun asing,Negatif,"['domestik', 'tindak', 'kompak', 'arb', 'lemah', 'takut', 'broker', 'domestik', 'akun', 'asing']"
311,rombong kcl korban cut loss,Negatif,"['rombong', 'kcl', 'korban', 'cut', 'loss']"
312,sektor pantau next week banking properti konstruksi sangkut sangkut santai bandar habis distribusi tanggal tunggu angkat biar diam naik arb bandar bandar tebar hati,Negatif,"['sektor', 'pantau', 'next', 'week', 'banking', 'properti', 'konstruksi', 'sangkut', 'sangkut', 'santai', 'bandar', 'habis', 'distribusi', 'tanggal', 'tunggu', 'angkat', 'biar', 'diam', 'naik', 'arb', 'bandar', 'bandar', 'tebar', 'hati']"
313,sayang close,Negatif,"['sayang', 'close']"
314,beli profit beli terima kasih bandar ngehayal,Negatif,"['beli', 'profit', 'beli', 'terima', 'kasih', 'bandar', 'ngehayal']"
315,arb,Negatif,['arb']
316,antim arb,Negatif,"['antim', 'arb']"
317,bagus cicil rugi turun,Negatif,"['bagus', 'cicil', 'rugi', 'turun']"
318,merah goreng krispi,Negatif,"['merah', 'goreng', 'krispi']"
319,bosan lihat lesu,Negatif,"['bosan', 'lihat', 'lesu']"
320,sepi,Negatif,['sepi']
321,diam ayo biar senyap biar turun beli kasih turun bawah gamat,Negatif,"['diam', 'ayo', 'biar', 'senyap', 'biar', 'turun', 'beli', 'kasih', 'turun', 'bawah', 'gamat']"
322,situ area suportnya diam ayo biar senyap biar turun beli,Negatif,"['situ', 'area', 'suportnya', 'diam', 'ayo', 'biar', 'senyap', 'biar', 'turun', 'beli']"
323,terbang indeks beban indeks,Negatif,"['terbang', 'indeks', 'beban', 'indeks']"
324,please arb kali,Negatif,"['please', 'arb', 'kali']"
325,sesal jual,Negatif,"['sesal', 'jual']"
326,hk closing biar,Negatif,"['hk', 'closing', 'biar']"
327,nyungsep,Negatif,['nyungsep']
328,berani jalanin swf bom,Negatif,"['berani', 'jalanin', 'swf', 'bom']"
329,untung lihat ambrol ironman,Negatif,"['untung', 'lihat', 'ambrol', 'ironman']"
330,untung,Negatif,['untung']
331,rugi benah berita restrukturisasi berita jual tol restrukturisasi himbara,Negatif,"['rugi', 'benah', 'berita', 'restrukturisasi', 'berita', 'jual', 'tol', 'restrukturisasi', 'himbara']"
332,salah beli pucuk cutloss rugi and swf ngaruh nyata cutloss,Negatif,"['salah', 'beli', 'pucuk', 'cutloss', 'rugi', 'and', 'swf', 'ngaruh', 'nyata', 'cutloss']"
333,salah beli pucuk cutloss rugi and swf ngaruh nyata,Negatif,"['salah', 'beli', 'pucuk', 'cutloss', 'rugi', 'and', 'swf', 'ngaruh', 'nyata']"
334,sektor pantau next week banking properti konstruksi dapag dukung momentum coal mining bullish konstruksi break jutha turun abise jual loss gila,Negatif,"['sektor', 'pantau', 'next', 'week', 'banking', 'properti', 'konstruksi', 'dapag', 'dukung', 'momentum', 'coal', 'mining', 'bullish', 'konstruksi', 'break', 'jutha', 'turun', 'abise', 'jual', 'loss', 'gila']"
335,hijau sepi lemah lesu,Negatif,"['hijau', 'sepi', 'lemah', 'lesu']"
336,pantau tp,Negatif,"['pantau', 'tp']"
337,latih trading cocok poin tp poin tp tp family xlo habis rally point loyo cap celup,Negatif,"['latih', 'trading', 'cocok', 'poin', 'tp', 'poin', 'tp', 'tp', 'family', 'xlo', 'habis', 'rally', 'point', 'loyo', 'cap', 'celup']"
338,mudah mampir,Negatif,"['mudah', 'mampir']"
339,pasang tp ckkckckck,Negatif,"['pasang', 'tp', 'ckkckckck']"
340,naik volume htf gagal breakout htf gaga,Negatif,"['naik', 'volume', 'htf', 'gagal', 'breakout', 'htf', 'gaga']"
341,downtrend suport,Negatif,"['downtrend', 'suport']"
342,sabotase bencana,Negatif,"['sabotase', 'bencana']"
343,lha janji nana terima kasih rumah detail selamat istirahat,Negatif,"['lha', 'janji', 'nana', 'terima', 'kasih', 'rumah', 'detail', 'selamat', 'istirahat']"
344,lurus ledak suka lkh eniwe konsol salah,Netral,"['lurus', 'ledak', 'suka', 'lkh', 'eniwe', 'konsol', 'salah']"
345,takut gila takut masuk tunggu kondusif,Netral,"['takut', 'gila', 'takut', 'masuk', 'tunggu', 'kondusif']"
346,sayang close buru endingnya cakep,Netral,"['sayang', 'close', 'buru', 'endingnya', 'cakep']"
347,ngikutin masuk menuhin fee broker biar timenya gratis sesuai trading hold centnya ajar momentum hilang tahan,Netral,"['ngikutin', 'masuk', 'menuhin', 'fee', 'broker', 'biar', 'timenya', 'gratis', 'sesuai', 'trading', 'hold', 'centnya', 'ajar', 'momentum', 'hilang', 'tahan']"
348,masuk kurang gantung psikologi orang cocok ma andal ts tp bikin jarum suntik cocok masuk jual ambil bawah,Positif,"['masuk', 'kurang', 'gantung', 'psikologi', 'orang', 'cocok', 'ma', 'andal', 'ts', 'tp', 'bikin', 'jarum', 'suntik', 'cocok', 'masuk', 'jual', 'ambil', 'bawah']"
349,rups laksana right issue tanggal mar jadwal laksana tunda volume,Positif,"['rups', 'laksana', 'right', 'issue', 'tanggal', 'mar', 'jadwal', 'laksana', 'tunda', 'volume']"
350,kawal bareng ayo bareng semesta,Positif,"['kawal', 'bareng', 'ayo', 'bareng', 'semesta']"
351,see digital colony milik thankyou info digital colony akuisisi right issue standby buy,Positif,"['see', 'digital', 'colony', 'milik', 'thankyou', 'info', 'digital', 'colony', 'akuisisi', 'right', 'issue', 'standby', 'buy']"
352,see digital colony milik thankyou info,Positif,"['see', 'digital', 'colony', 'milik', 'thankyou', 'info']"
353,hidup hidup,Positif,"['hidup', 'hidup']"
354,haka jam news,Positif,"['haka', 'jam', 'news']"
355,haka,Positif,['haka']
356,tanggal tunggu narik goceng enteng model kaya,Positif,"['tanggal', 'tunggu', 'narik', 'goceng', 'enteng', 'model', 'kaya']"
357,pegang pecah nominal,Positif,"['pegang', 'pecah', 'nominal']"
358,diskon,Positif,['diskon']
359,patriotik merah darah ma rui,Positif,"['patriotik', 'merah', 'darah', 'ma', 'rui']"
360,merah tarik hijau,Positif,"['merah', 'tarik', 'hijau']"
361,syukur hijau,Positif,"['syukur', 'hijau']"
362,napa broker bandar ambil,Positif,"['napa', 'broker', 'bandar', 'ambil']"
363,ayo rebound ayo,Positif,"['ayo', 'rebound', 'ayo']"
364,ngamuk,Positif,['ngamuk']
365,lq fundamental oke dividen tunggu naik,Positif,"['lq', 'fundamental', 'oke', 'dividen', 'tunggu', 'naik']"
366,ambrol hajar,Positif,"['ambrol', 'hajar']"
367,kuat ma mantap,Positif,"['kuat', 'ma', 'mantap']"
368,awassss terbang,Positif,"['awassss', 'terbang']"
369,asik serok tunggu emiten pengaruh badai,Positif,"['asik', 'serok', 'tunggu', 'emiten', 'pengaruh', 'badai']"
370,get ready,Positif,"['get', 'ready']"
371,moga hijau,Positif,"['moga', 'hijau']"
372,ara,Positif,['ara']
373,bangkit kubur,Positif,"['bangkit', 'kubur']"
374,yuhu naik,Positif,"['yuhu', 'naik']"
375,kadung nyemplung fomo up gin cuan cepat tunggu koreksi moment distribusi,Positif,"['kadung', 'nyemplung', 'fomo', 'up', 'gin', 'cuan', 'cepat', 'tunggu', 'koreksi', 'moment', 'distribusi']"
376,rups laksana right issue tanggal mar jadwal laksana tunda area buy,Positif,"['rups', 'laksana', 'right', 'issue', 'tanggal', 'mar', 'jadwal', 'laksana', 'tunda', 'area', 'buy']"
377,alibaba loh rups laksana right issue tanggal mar jadwal laksana tunda,Positif,"['alibaba', 'loh', 'rups', 'laksana', 'right', 'issue', 'tanggal', 'mar', 'jadwal', 'laksana', 'tunda']"
378,sentimen bandar beramain,Positif,"['sentimen', 'bandar', 'beramain']"
379,syarat break tahan bawah,Positif,"['syarat', 'break', 'tahan', 'bawah']"
380,digital raksasa unicorn,Positif,"['digital', 'raksasa', 'unicorn']"
381,oke,Positif,['oke']
382,bagus masuk tp bagus tunggu candle biru prosentase,Positif,"['bagus', 'masuk', 'tp', 'bagus', 'tunggu', 'candle', 'biru', 'prosentase']"
383,ide emiten tarik bang,Positif,"['ide', 'emiten', 'tarik', 'bang']"
384,weekly ma weeks ma weeks ema weeks usaha jebol ma masuk setup,Positif,"['weekly', 'ma', 'weeks', 'ma', 'weeks', 'ema', 'weeks', 'usaha', 'jebol', 'ma', 'masuk', 'setup']"
385,next watch,Positif,"['next', 'watch']"
386,ara,Positif,['ara']
387,nikel nikel stay base strong cantik,Positif,"['nikel', 'nikel', 'stay', 'base', 'strong', 'cantik']"
388,gas,Positif,['gas']
389,teknikal area serok ragu,Positif,"['teknikal', 'area', 'serok', 'ragu']"
390,colek,Positif,['colek']
391,guyur rf ft jaga,Positif,"['guyur', 'rf', 'ft', 'jaga']"
392,naik ayo full muat jaga banting naik,Positif,"['naik', 'ayo', 'full', 'muat', 'jaga', 'banting', 'naik']"
393,naik ayo full muat,Positif,"['naik', 'ayo', 'full', 'muat']"
394,serok bawah kenyang,Positif,"['serok', 'bawah', 'kenyang']"
395,start rups tuju ri,Positif,"['start', 'rups', 'tuju', 'ri']"
396,tp gara karya lincah gera bullish,Positif,"['tp', 'gara', 'karya', 'lincah', 'gera', 'bullish']"
397,tp gara,Positif,"['tp', 'gara']"
398,cumdate ramai,Positif,"['cumdate', 'ramai']"
399,rebound,Positif,['rebound']
400,happy,Positif,['happy']
401,yp masang pager abg,Positif,"['yp', 'masang', 'pager', 'abg']"
402,kencang,Positif,['kencang']
403,canda rebound hijau,Positif,"['canda', 'rebound', 'hijau']"
404,cum ri,Positif,"['cum', 'ri']"
405,area demand kumpul in,Positif,"['area', 'demand', 'kumpul', 'in']"
406,asing jaga bpjs lihat ngeri asing bpjs untung,Negatif,"['asing', 'jaga', 'bpjs', 'lihat', 'ngeri', 'asing', 'bpjs', 'untung']"
407,atur lengkap perihal batas milik emiten bpjs silah inti mudah jual terima kasih sharingnya ngeri efek fear kadang asli efek gosip mbikin runtuh duluan archegos,Negatif,"['atur', 'lengkap', 'perihal', 'batas', 'milik', 'emiten', 'bpjs', 'silah', 'inti', 'mudah', 'jual', 'terima', 'kasih', 'sharingnya', 'ngeri', 'efek', 'fear', 'kadang', 'asli', 'efek', 'gosip', 'mbikin', 'runtuh', 'duluan', 'archegos']"
408,hati jagan bunuh masuk neraka andal ts tp bikin jarum suntik cocok tp prsktek susah brner klik kadang jual mlh tinggi tunggu turun masuk turun,Negatif,"['hati', 'jagan', 'bunuh', 'masuk', 'neraka', 'andal', 'ts', 'tp', 'bikin', 'jarum', 'suntik', 'cocok', 'tp', 'prsktek', 'susah', 'brner', 'klik', 'kadang', 'jual', 'mlh', 'tinggi', 'tunggu', 'turun', 'masuk', 'turun']"
409,cl kena loss,Negatif,"['cl', 'kena', 'loss']"
410,sentimen negatif,Negatif,"['sentimen', 'negatif']"
411,fix arb kontruksi kendala kerja bayak tender kontruksi moncernya kumpul kejar target,Negatif,"['fix', 'arb', 'kontruksi', 'kendala', 'kerja', 'bayak', 'tender', 'kontruksi', 'moncernya', 'kumpul', 'kejar', 'target']"
412,fik hijau fix arb,Negatif,"['fik', 'hijau', 'fix', 'arb']"
413,kampret cnbc fear disebarr berita bagus muncul,Negatif,"['kampret', 'cnbc', 'fear', 'disebarr', 'berita', 'bagus', 'muncul']"
414,arb,Negatif,['arb']
415,bursa efek bohong swf,Negatif,"['bursa', 'efek', 'bohong', 'swf']"
416,prospek antem,Negatif,"['prospek', 'antem']"
417,fundamental oke dividen tunggu naik rugi dividen,Negatif,"['fundamental', 'oke', 'dividen', 'tunggu', 'naik', 'rugi', 'dividen']"
418,closing merah parah bandar kasar sulit tp andaikata merah sasar,Negatif,"['closing', 'merah', 'parah', 'bandar', 'kasar', 'sulit', 'tp', 'andaikata', 'merah', 'sasar']"
419,closing merah parah bandar kasar,Negatif,"['closing', 'merah', 'parah', 'bandar', 'kasar']"
420,lihat kesi mati tahan indeks woyyy tolongin napa,Negatif,"['lihat', 'kesi', 'mati', 'tahan', 'indeks', 'woyyy', 'tolongin', 'napa']"
421,buang asing giring opini bawah,Negatif,"['buang', 'asing', 'giring', 'opini', 'bawah']"
422,ngamati ngeri hati ginian angka bid palsu dianjlokin hilang,Negatif,"['ngamati', 'ngeri', 'hati', 'ginian', 'angka', 'bid', 'palsu', 'dianjlokin', 'hilang']"
423,doa arb,Negatif,"['doa', 'arb']"
424,arb support,Negatif,"['arb', 'support']"
425,runtuh supportnya,Negatif,"['runtuh', 'supportnya']"
426,ambrol,Negatif,['ambrol']
427,kenal sangkut minibank sedekah atao zakat risk banding expected return deviasi minibank kisar lihat kelompok orang institusi pegang dana salam profit,Negatif,"['kenal', 'sangkut', 'minibank', 'sedekah', 'atao', 'zakat', 'risk', 'banding', 'expected', 'return', 'deviasi', 'minibank', 'kisar', 'lihat', 'kelompok', 'orang', 'institusi', 'pegang', 'dana', 'salam', 'profit']"
428,terjun bebas,Negatif,"['terjun', 'bebas']"
429,dividen kurang banting tutup gap,Negatif,"['dividen', 'kurang', 'banting', 'tutup', 'gap']"
430,dividen kurang banting,Negatif,"['dividen', 'kurang', 'banting']"
431,ri simpang siur soalnyaz hmetd nongol,Negatif,"['ri', 'simpang', 'siur', 'soalnyaz', 'hmetd', 'nongol']"
432,cl coz ngk kuat psikis lihat sangkut turun arb ngeri pegang,Negatif,"['cl', 'coz', 'ngk', 'kuat', 'psikis', 'lihat', 'sangkut', 'turun', 'arb', 'ngeri', 'pegang']"
433,offer tebal hilang reversal,Negatif,"['offer', 'tebal', 'hilang', 'reversal']"
434,butuh berani lapkeu tinggal tunggu bangkrut,Negatif,"['butuh', 'berani', 'lapkeu', 'tinggal', 'tunggu', 'bangkrut']"
435,tunggu bang mesti ngarep doang kasih bagus info tarik coba pantao saagat tarik kali minimal ara ajak beli atao jual,Negatif,"['tunggu', 'bang', 'mesti', 'ngarep', 'doang', 'kasih', 'bagus', 'info', 'tarik', 'coba', 'pantao', 'saagat', 'tarik', 'kali', 'minimal', 'ara', 'ajak', 'beli', 'atao', 'jual']"
436,arb smw arb wajar masuk pucuk masuk murah masuk bentar rb telat,Negatif,"['arb', 'smw', 'arb', 'wajar', 'masuk', 'pucuk', 'masuk', 'murah', 'masuk', 'bentar', 'rb', 'telat']"
437,tektok,Negatif,['tektok']
438,aset profit oke reputasi oke kesiap infra oke size data unt arb,Negatif,"['aset', 'profit', 'oke', 'reputasi', 'oke', 'kesiap', 'infra', 'oke', 'size', 'data', 'unt', 'arb']"
439,kondisi kurang bagus tahan barang on day trading,Negatif,"['kondisi', 'kurang', 'bagus', 'tahan', 'barang', 'on', 'day', 'trading']"
440,masuk turun,Negatif,"['masuk', 'turun']"
441,ramai ayo sedih sepi,Negatif,"['ramai', 'ayo', 'sedih', 'sepi']"
442,stocksplit geming market kondusif,Negatif,"['stocksplit', 'geming', 'market', 'kondusif']"
443,stocksplit geming,Negatif,"['stocksplit', 'geming']"
444,usaha bagus banding arb,Negatif,"['usaha', 'bagus', 'banding', 'arb']"
445,ayo turun,Negatif,"['ayo', 'turun']"
446,ayo turun lagiii,Negatif,"['ayo', 'turun', 'lagiii']"
447,swf gagal kelas opung luhut prank tidak punya barang kpn habis prank swf prank,Negatif,"['swf', 'gagal', 'kelas', 'opung', 'luhut', 'prank', 'tidak', 'punya', 'barang', 'kpn', 'habis', 'prank', 'swf', 'prank']"
448,gila ambrol,Negatif,"['gila', 'ambrol']"
449,swf gagal kelas opung luhut prank tidak punya barang,Negatif,"['swf', 'gagal', 'kelas', 'opung', 'luhut', 'prank', 'tidak', 'punya', 'barang']"
450,arb ni mentok arb,Negatif,"['arb', 'ni', 'mentok', 'arb']"
451,kasih ma kurang turun alias arb,Negatif,"['kasih', 'ma', 'kurang', 'turun', 'alias', 'arb']"
452,moga hidup segan mati sangkut sangkut definisi sangkut batas sl tp sl turun,Negatif,"['moga', 'hidup', 'segan', 'mati', 'sangkut', 'sangkut', 'definisi', 'sangkut', 'batas', 'sl', 'tp', 'sl', 'turun']"
453,was was mikirin harta abs cl barusan masuk gara kena php,Negatif,"['was', 'was', 'mikirin', 'harta', 'abs', 'cl', 'barusan', 'masuk', 'gara', 'kena', 'php']"
454,was was mikirin harta,Negatif,"['was', 'was', 'mikirin', 'harta']"
455,ghost bandar chart support breakdown kabur,Negatif,"['ghost', 'bandar', 'chart', 'support', 'breakdown', 'kabur']"
456,cnbc indonesia berita sentimen negative saksi,Negatif,"['cnbc', 'indonesia', 'berita', 'sentimen', 'negative', 'saksi']"
457,analisa pribadi bukti bebas orang asumsi rugi bahaya orang serok,Negatif,"['analisa', 'pribadi', 'bukti', 'bebas', 'orang', 'asumsi', 'rugi', 'bahaya', 'orang', 'serok']"
458,rekomendasi buy masuk analis hs elen may parah korban jatuh,Negatif,"['rekomendasi', 'buy', 'masuk', 'analis', 'hs', 'elen', 'may', 'parah', 'korban', 'jatuh']"
459,trading kadang bingung cl bawa naik em trade kuat tahan jelek perintah duit bantu harap jual tol atao ina proyek dana susah kecuali surat jamin perintah lambat,Negatif,"['trading', 'kadang', 'bingung', 'cl', 'bawa', 'naik', 'em', 'trade', 'kuat', 'tahan', 'jelek', 'perintah', 'duit', 'bantu', 'harap', 'jual', 'tol', 'atao', 'ina', 'proyek', 'dana', 'susah', 'kecuali', 'surat', 'jamin', 'perintah', 'lambat']"
460,sangkut cl ntn em suruh invest bingung invest gap pantul,Negatif,"['sangkut', 'cl', 'ntn', 'em', 'suruh', 'invest', 'bingung', 'invest', 'gap', 'pantul']"
461,niat trading atao investasi trading pasang stoploss sangkut trading kadang bingung cl bawa naik em trade swing kena level stoploss stoploss investing mslh berita bingung layak invest,Negatif,"['niat', 'trading', 'atao', 'investasi', 'trading', 'pasang', 'stoploss', 'sangkut', 'trading', 'kadang', 'bingung', 'cl', 'bawa', 'naik', 'em', 'trade', 'swing', 'kena', 'level', 'stoploss', 'stoploss', 'investing', 'mslh', 'berita', 'bingung', 'layak', 'invest']"
462,sangkut cl ntn em suruh invest bingung niat trading atao investasi trading pasang stoploss sangkut stoploss penuh kena sl yasudah risk trading terima posisi ambil salah,Negatif,"['sangkut', 'cl', 'ntn', 'em', 'suruh', 'invest', 'bingung', 'niat', 'trading', 'atao', 'investasi', 'trading', 'pasang', 'stoploss', 'sangkut', 'stoploss', 'penuh', 'kena', 'sl', 'yasudah', 'risk', 'trading', 'terima', 'posisi', 'ambil', 'salah']"
463,perhati arb sesal jual arb pait loss order akumulasi bandar naik arb average bandar akumulasi loss tutup perhati arb sesal jual arb pait akumulasi moga,Negatif,"['perhati', 'arb', 'sesal', 'jual', 'arb', 'pait', 'loss', 'order', 'akumulasi', 'bandar', 'naik', 'arb', 'average', 'bandar', 'akumulasi', 'loss', 'tutup', 'perhati', 'arb', 'sesal', 'jual', 'arb', 'pait', 'akumulasi', 'moga']"
464,pakai dingin hold sentimen swf,Netral,"['pakai', 'dingin', 'hold', 'sentimen', 'swf']"
465,sakit credit by,Netral,"['sakit', 'credit', 'by']"
466,tahan ath,Positif,"['tahan', 'ath']"
467,bayi rangkak tekun tuju ath moga breakout pekan,Positif,"['bayi', 'rangkak', 'tekun', 'tuju', 'ath', 'moga', 'breakout', 'pekan']"
468,ramai hunter dividen rups dividen lumayan,Positif,"['ramai', 'hunter', 'dividen', 'rups', 'dividen', 'lumayan']"
469,bentar tanda reversal ramai,Positif,"['bentar', 'tanda', 'reversal', 'ramai']"
470,ramai hunter dividen rups,Positif,"['ramai', 'hunter', 'dividen', 'rups']"
471,moga rebound kencang gila market rebound,Positif,"['moga', 'rebound', 'kencang', 'gila', 'market', 'rebound']"
472,jujur buta ajar bos beli btc juta via bca astaga lihat cuan ratus,Positif,"['jujur', 'buta', 'ajar', 'bos', 'beli', 'btc', 'juta', 'via', 'bca', 'astaga', 'lihat', 'cuan', 'ratus']"
473,lihat chart isu gabung lihat emiten ajib goreng bolak cuan bagus,Positif,"['lihat', 'chart', 'isu', 'gabung', 'lihat', 'emiten', 'ajib', 'goreng', 'bolak', 'cuan', 'bagus']"
474,serap ri lihat chart isu gabung lihat emiten ajib goreng bolak,Positif,"['serap', 'ri', 'lihat', 'chart', 'isu', 'gabung', 'lihat', 'emiten', 'ajib', 'goreng', 'bolak']"
475,serap ri bandarin,Positif,"['serap', 'ri', 'bandarin']"
476,roket ajak cuan bareng jebol stop los,Positif,"['roket', 'ajak', 'cuan', 'bareng', 'jebol', 'stop', 'los']"
477,investor ritel serok dividen,Positif,"['investor', 'ritel', 'serok', 'dividen']"
478,ath turun,Negatif,"['ath', 'turun']"
479,jatuh tp dividen banting banting langgan banting ex date,Negatif,"['jatuh', 'tp', 'dividen', 'banting', 'banting', 'langgan', 'banting', 'ex', 'date']"
480,dividen koreksi lumayan entrynya mesti tuju invest atao minimal hold jatuh tp dividen banting,Negatif,"['dividen', 'koreksi', 'lumayan', 'entrynya', 'mesti', 'tuju', 'invest', 'atao', 'minimal', 'hold', 'jatuh', 'tp', 'dividen', 'banting']"
481,arb gebuk,Negatif,"['arb', 'gebuk']"
482,crypto goreng jam arb kuat harap tidur crypto tidur guyur banting habis untung tp,Negatif,"['crypto', 'goreng', 'jam', 'arb', 'kuat', 'harap', 'tidur', 'crypto', 'tidur', 'guyur', 'banting', 'habis', 'untung', 'tp']"
483,crypto goreng jam arb kuat harap tidur crypto tidur guyur,Negatif,"['crypto', 'goreng', 'jam', 'arb', 'kuat', 'harap', 'tidur', 'crypto', 'tidur', 'guyur']"
484,gantung merknya bandar short sell,Negatif,"['gantung', 'merknya', 'bandar', 'short', 'sell']"
485,tuju ath moga breakout pekan tahan,Netral,"['tuju', 'ath', 'moga', 'breakout', 'pekan', 'tahan']"
486,pindah rdpu libur investasi leher,Positif,"['pindah', 'rdpu', 'libur', 'investasi', 'leher']"
487,kontan co id pt bukit asam tbk putus dividen rp miliar kabur pindah,Positif,"['kontan', 'co', 'id', 'pt', 'bukit', 'asam', 'tbk', 'putus', 'dividen', 'rp', 'miliar', 'kabur', 'pindah']"
488,usa buru tutup gap bawah duit iseng taruh coin coin hot topic,Positif,"['usa', 'buru', 'tutup', 'gap', 'bawah', 'duit', 'iseng', 'taruh', 'coin', 'coin', 'hot', 'topic']"
489,right issue nasib share insight,Positif,"['right', 'issue', 'nasib', 'share', 'insight']"
490,pindah aja akumulasi,Positif,"['pindah', 'aja', 'akumulasi']"
491,right issue tarik kering,Positif,"['right', 'issue', 'tarik', 'kering']"
492,laba omset tingkat lihat manajemen,Positif,"['laba', 'omset', 'tingkat', 'lihat', 'manajemen']"
493,ndelosor volume lari tier value transaksi trilyun,Positif,"['ndelosor', 'volume', 'lari', 'tier', 'value', 'transaksi', 'trilyun']"
494,ambil suka beda bandar bandar out migrasi coin tetangga hijau loh rumput tetangga hijau lebat carik,Positif,"['ambil', 'suka', 'beda', 'bandar', 'bandar', 'out', 'migrasi', 'coin', 'tetangga', 'hijau', 'loh', 'rumput', 'tetangga', 'hijau', 'lebat', 'carik']"
495,murah,Positif,['murah']
496,hasil break ema,Positif,"['hasil', 'break', 'ema']"
497,invest oke sangkut crash dividen lumayan cons oke berat maybe ubah uandang cukai rokok titik terang sisa komentar,Positif,"['invest', 'oke', 'sangkut', 'crash', 'dividen', 'lumayan', 'cons', 'oke', 'berat', 'maybe', 'ubah', 'uandang', 'cukai', 'rokok', 'titik', 'terang', 'sisa', 'komentar']"
498,ayo pillay ara cepat piutang puasa ramai unjung matahari,Positif,"['ayo', 'pillay', 'ara', 'cepat', 'piutang', 'puasa', 'ramai', 'unjung', 'matahari']"
499,pintar habis akuisisi pakai cari modal jual emc keren habis eksekusi cek modal bentuk aset market cap,Positif,"['pintar', 'habis', 'akuisisi', 'pakai', 'cari', 'modal', 'jual', 'emc', 'keren', 'habis', 'eksekusi', 'cek', 'modal', 'bentuk', 'aset', 'market', 'cap']"
500,info ri ayo rapat baris diskusi loh coba kali swing trade,Positif,"['info', 'ri', 'ayo', 'rapat', 'baris', 'diskusi', 'loh', 'coba', 'kali', 'swing', 'trade']"
501,info ri ayo rapat baris diskusi,Positif,"['info', 'ri', 'ayo', 'rapat', 'baris', 'diskusi']"
502,serok supportnya fibonacci resistnya,Positif,"['serok', 'supportnya', 'fibonacci', 'resistnya']"
503,serok,Positif,['serok']
504,lihat ipot cum date nominal terima kasih info barusan beli gtw cumdatenya,Positif,"['lihat', 'ipot', 'cum', 'date', 'nominal', 'terima', 'kasih', 'info', 'barusan', 'beli', 'gtw', 'cumdatenya']"
505,cumdate lihat ipot cum date nominal,Positif,"['cumdate', 'lihat', 'ipot', 'cum', 'date', 'nominal']"
506,cumdate,Positif,['cumdate']
507,minus yp minus yp pena pa,Positif,"['minus', 'yp', 'minus', 'yp', 'pena', 'pa']"
508,average down kali total porto porsi total minus hancur sabar angka bagus perhati moga moga nembus bawah,Positif,"['average', 'down', 'kali', 'total', 'porto', 'porsi', 'total', 'minus', 'hancur', 'sabar', 'angka', 'bagus', 'perhati', 'moga', 'moga', 'nembus', 'bawah']"
509,rapat,Positif,['rapat']
510,ungsi lancar laju,Positif,"['ungsi', 'lancar', 'laju']"
511,tumben ungsi,Positif,"['tumben', 'ungsi']"
512,tumben,Positif,['tumben']
513,dividen perak dividen payout ratio yield fix,Positif,"['dividen', 'perak', 'dividen', 'payout', 'ratio', 'yield', 'fix']"
514,coal news,Positif,"['coal', 'news']"
515,astaga buang dividen jelek bentar naik sesuai coal,Positif,"['astaga', 'buang', 'dividen', 'jelek', 'bentar', 'naik', 'sesuai', 'coal']"
516,kenang biar kenang indah,Positif,"['kenang', 'biar', 'kenang', 'indah']"
517,diam to moon,Positif,"['diam', 'to', 'moon']"
518,terbang ayo akumulasi beli,Positif,"['terbang', 'ayo', 'akumulasi', 'beli']"
519,naik signifikan,Positif,"['naik', 'signifikan']"
520,fly moon,Positif,"['fly', 'moon']"
521,prospek beli alhamdulillah naik bingung prospek berita,Positif,"['prospek', 'beli', 'alhamdulillah', 'naik', 'bingung', 'prospek', 'berita']"
522,mencet buy tp hati deg,Positif,"['mencet', 'buy', 'tp', 'hati', 'deg']"
523,bandar gocek seram alhasil pindah gocek bandar bikin mules trading enak murni ta mnt cuan,Positif,"['bandar', 'gocek', 'seram', 'alhasil', 'pindah', 'gocek', 'bandar', 'bikin', 'mules', 'trading', 'enak', 'murni', 'ta', 'mnt', 'cuan']"
524,bursa asia eropa libur copet pd all time high roket meanwhile money wings,Negatif,"['bursa', 'asia', 'eropa', 'libur', 'copet', 'pd', 'all', 'time', 'high', 'roket', 'meanwhile', 'money', 'wings']"
525,bawah,Negatif,['bawah']
526,emiten property distribusi moga stop distribusi distribusi tawar murah,Negatif,"['emiten', 'property', 'distribusi', 'moga', 'stop', 'distribusi', 'distribusi', 'tawar', 'murah']"
527,emiten property distribusi moga stop distribusi,Negatif,"['emiten', 'property', 'distribusi', 'moga', 'stop', 'distribusi']"
528,after gentlement talk loyo,Negatif,"['after', 'gentlement', 'talk', 'loyo']"
529,chip downtrend kurang,Negatif,"['chip', 'downtrend', 'kurang']"
530,invest pilih invest jangka profit ban pbv tinggi susah naik alih kondisi market lawan trading boncos,Negatif,"['invest', 'pilih', 'invest', 'jangka', 'profit', 'ban', 'pbv', 'tinggi', 'susah', 'naik', 'alih', 'kondisi', 'market', 'lawan', 'trading', 'boncos']"
531,kuat mental barusan cl,Negatif,"['kuat', 'mental', 'barusan', 'cl']"
